B.Tag,Time,CoralR,CoralG,CoralB,Notes
W11,Pre_Treat,0.4036,0.43019,-0.09219,
W12,Pre_Treat,0.31824,0.46855,-0.02886,
W13,Pre_Treat,0.45527,0.69189,0.040789,
W14,Pre_Treat,0.57877,0.68264,0.078733,
W15,Pre_Treat,0.38055,0.30132,-0.02486,
W17,Pre_Treat,0.42359,0.42431,0.014225,
W2,Pre_Treat,0.50164,0.62471,0.076737,
W20,Pre_Treat,0.3969,0.39447,0.036516,
W21,Pre_Treat,0.48522,0.49245,-0.03182,
W22,Pre_Treat,0.42249,0.34346,0.038857,
W23,Pre_Treat,0.48303,0.5134,0.019121,
W24,Pre_Treat,0.50636,0.52934,0.028518,
W25,Pre_Treat,0.43829,0.38546,0.024953,
W26,Pre_Treat,0.44119,0.38908,0.009096,
W27,Pre_Treat,0.44788,0.43918,0.030114,
W28,Pre_Treat,0.4314,0.40761,0.057359,
W29,Pre_Treat,0.4557,0.40492,-0.06126,
W30,Pre_Treat,0.50186,0.46794,0.049591,
W31,Pre_Treat,0.46253,0.44374,0.049532,
W32,Pre_Treat,0.47499,0.46192,-0.01062,
W33,Pre_Treat,0.45683,0.50413,0.040191,
W34,Pre_Treat,0.57499,0.45639,0.26395,
W35,Pre_Treat,0.41759,0.32686,-0.01543,
W36,Pre_Treat,0.46801,0.4395,-0.00028,
W37,Pre_Treat,0.42183,0.40417,0.02598,
W38,Pre_Treat,0.42674,0.38445,0.004779,
W39,Pre_Treat,0.34312,0.29497,0.083218,
W40,Pre_Treat,0.4759,0.44749,0.015119,
W41,Pre_Treat,0.45572,0.4687,0.061879,
W42,Pre_Treat,0.38209,0.40744,0.022172,
W43,Pre_Treat,0.42342,0.46135,0.026607,
W44,Pre_Treat,0.56582,0.55375,0.09163,
W45,Pre_Treat,0.49692,0.52182,0.026824,
W46,Pre_Treat,0.36543,0.47799,0.013817,
W47,Pre_Treat,0.49362,0.54715,-0.01601,
W48,Pre_Treat,0.4877,0.58604,0.007399,
W49,Pre_Treat,0.48285,0.47138,-0.01661,
W50,Pre_Treat,0.40989,0.49359,-0.04656,
W51,Pre_Treat,0.44157,0.44206,0.011325,
W52,Pre_Treat,0.32621,0.33551,-0.08022,
W53,Pre_Treat,0.39433,0.44614,-0.05655,
W54,Pre_Treat,0.42583,0.43869,-0.01078,
W55,Pre_Treat,0.39889,0.43825,0.019853,
W56,Pre_Treat,0.40437,0.47351,-0.06208,
W57,Pre_Treat,0.44073,0.43272,0.01201,
W58,Pre_Treat,0.53684,0.63174,0.21274,
W59,Pre_Treat,0.37923,0.53627,0.12838,
W60,Pre_Treat,0.54345,0.67868,0.30592,
W62,Pre_Treat,0.58225,0.74735,0.14947,
W63,Pre_Treat,0.67473,0.64149,0.41034,
W64,Pre_Treat,0.57596,0.65846,0.27867,
W65,Pre_Treat,0.4988,0.67392,0.051538,
W67,Pre_Treat,0.53301,0.65345,0.29328,
W70,Pre_Treat,0.56365,0.66388,0.18188,
W71,Pre_Treat,0.68836,0.75918,0.41241,
W72,Pre_Treat,0.5934,0.68137,0.30383,
W73,Pre_Treat,0.50045,0.62627,0.23734,
W74,Pre_Treat,0.44582,0.65671,0.20166,
W75,Pre_Treat,0.61087,0.67407,0.12868,
W76,Pre_Treat,0.61,0.68823,0.30583,
W77,Pre_Treat,0.5502,0.77034,0.32815,
W78,Pre_Treat,0.58117,0.72603,0.33929,
W79,Pre_Treat,0.50374,0.63121,0.21055,
W80,Pre_Treat,0.46494,0.57176,0.12074,
W82,Pre_Treat,0.61499,0.70164,0.24016,
W83,Pre_Treat,0.74626,0.74767,0.48505,
W84,Pre_Treat,0.59097,0.78617,0.31028,
W85,Pre_Treat,0.5452,0.74631,0.10776,
W87,Pre_Treat,0.44388,0.57457,0.06403,
W90,Pre_Treat,0.45085,0.63327,-0.06235,
W92,Pre_Treat,0.43448,0.58765,0.080375,
W93,Pre_Treat,0.5149,0.624,0.39618,
W94,Pre_Treat,0.58403,0.65722,0.20912,
W95,Pre_Treat,0.48968,0.55042,0.036679,
W97,Pre_Treat,0.54054,0.69269,0.20908,
W98,Pre_Treat,0.40528,0.56465,0.010737,
Y1,Pre_Treat,0.53545,0.60713,0.2797,
Y10,Pre_Treat,0.6558,0.67518,0.34247,
Y11,Pre_Treat,0.53823,0.66487,0.22093,
Y12,Pre_Treat,0.40685,0.32243,0.021837,
Y13,Pre_Treat,0.45075,0.5067,-0.03713,
Y14,Pre_Treat,0.45177,0.2999,0.001257,
Y15,Pre_Treat,0.42329,0.3747,0.002083,
Y17,Pre_Treat,0.45688,0.42595,-0.11942,
Y2,Pre_Treat,0.59037,0.65454,0.21597,
Y20,Pre_Treat,0.35095,0.34973,-0.07556,
Y21,Pre_Treat,0.38125,0.43541,-0.02667,
Y22,Pre_Treat,0.35849,0.35366,-0.00694,
Y23,Pre_Treat,0.59402,0.53996,0.20249,
Y24,Pre_Treat,0.47665,0.46606,-0.00968,
Y25,Pre_Treat,0.39502,0.36887,0.005212,
Y26,Pre_Treat,0.35777,0.30653,0.060714,
Y27,Pre_Treat,0.43933,0.39848,-0.01859,
Y28,Pre_Treat,0.44745,0.42769,0.015899,
Y29,Pre_Treat,0.51099,0.46997,-0.00354,
Y3,Pre_Treat,0.6316,0.60694,0.28331,
Y30,Pre_Treat,0.30957,0.25765,-0.00648,
Y31,Pre_Treat,0.30931,0.39655,-0.06917,
Y32,Pre_Treat,0.32645,0.28924,-0.04653,
Y33,Pre_Treat,0.4586,0.40709,0.00895,
Y34,Pre_Treat,0.37651,0.34716,0.008537,
Y35,Pre_Treat,0.43309,0.45366,0.006114,
Y36,Pre_Treat,0.47448,0.50171,0.033327,
Y37,Pre_Treat,0.62956,0.56108,0.18696,
Y38,Pre_Treat,0.42758,0.48603,-0.0459,
Y39,Pre_Treat,0.51826,0.54876,-0.05173,
Y4,Pre_Treat,0.60155,0.70804,0.26594,
Y40,Pre_Treat,0.51323,0.47076,0.027363,
Y41,Pre_Treat,0.44195,0.43986,0.049082,
Y42,Pre_Treat,0.35719,0.311,0.063999,
Y43,Pre_Treat,0.38649,0.34893,0.039283,
Y44,Pre_Treat,0.46547,0.49746,0.037641,
Y45,Pre_Treat,0.41884,0.48386,-0.04659,
Y46,Pre_Treat,0.38686,0.40916,-0.03489,
Y47,Pre_Treat,0.39028,0.36256,0.040884,
Y48,Pre_Treat,0.39979,0.40178,-0.03578,
Y49,Pre_Treat,0.35336,0.35405,-0.01866,
Y5,Pre_Treat,0.59895,0.82086,0.27566,
Y50,Pre_Treat,0.30381,0.28853,-0.02311,
Y51,Pre_Treat,0.41947,0.48257,0.004863,
Y52,Pre_Treat,0.42332,0.37154,0.006862,
Y53,Pre_Treat,0.49837,0.47542,0.060058,
Y54,Pre_Treat,0.42708,0.4506,-0.0132,
Y55,Pre_Treat,0.47632,0.49262,0.24048,
Y56,Pre_Treat,0.52737,0.65999,0.20337,
Y57,Pre_Treat,0.54502,0.53735,0.13904,
Y58,Pre_Treat,0.67443,0.69325,0.29812,
Y59,Pre_Treat,0.62753,0.68105,0.36049,
Y60,Pre_Treat,0.35678,0.4646,-0.08598,
Y62,Pre_Treat,0.44205,0.54515,0.061061,
Y63,Pre_Treat,0.49607,0.55264,0.13287,
Y64,Pre_Treat,0.53657,0.69827,0.24575,
Y65,Pre_Treat,0.615,0.67549,0.14198,
Y67,Pre_Treat,0.46953,0.5771,0.11527,
Y7,Pre_Treat,0.375,0.42526,-0.02934,
Y70,Pre_Treat,0.52967,0.49232,0.16529,
Y71,Pre_Treat,0.5194,0.67506,0.22977,
Y72,Pre_Treat,0.43274,0.62546,0.027925,
Y73,Pre_Treat,0.64842,0.72114,0.32318,
Y74,Pre_Treat,0.5825,0.67237,0.18663,
Y75,Pre_Treat,0.61323,0.72052,0.26449,
Y76,Pre_Treat,0.63044,0.63126,0.21626,
Y77,Pre_Treat,0.5256,0.62122,0.19617,
Y78,Pre_Treat,0.48248,0.57227,-0.00209,
Y79,Pre_Treat,0.45223,0.34836,0.016168,
Y8,Pre_Treat,0.5586,0.64948,0.22343,
Y80,Pre_Treat,0.53595,0.46432,0.14381,
Y82,Pre_Treat,0.48334,0.60995,0.10061,
Y83,Pre_Treat,0.50627,0.59334,0.16692,
Y84,Pre_Treat,0.46937,0.56793,0.22381,
Y85,Pre_Treat,0.45558,0.46935,0.14282,
Y87,Pre_Treat,0.48913,0.49262,0.18931,
Y88,Pre_Treat,0.5871,0.7267,0.26384,
Y90,Pre_Treat,0.44445,0.52439,0.039896,
Y92,Pre_Treat,0.54105,0.64748,0.22755,
Y93,Pre_Treat,0.48369,0.59979,0.14856,
Y94,Pre_Treat,0.4621,0.4772,0.077544,
Y95,Pre_Treat,0.41019,0.52439,-0.00157,
Y97,Pre_Treat,0.49657,0.63307,0.22972,
B1,Post_Treat,0.47564,0.59818,0.002323,
B13,Post_Treat,0.61264,0.65329,0.38557,
B1315,Post_Treat,0.32507,0.31311,-0.00933,
B14,Post_Treat,0.63215,0.71713,0.34493,
B15,Post_Treat,0.48784,0.58507,0.12569,
B189,Post_Treat,0.40509,0.3296,0.016538,
B1938,Post_Treat,0.42406,0.48272,-0.04747,
B2,Post_Treat,0.57612,0.63045,0.1408,
B20,Post_Treat,0.60432,0.63147,0.2373,
B22,Post_Treat,0.39409,0.33904,-0.02474,
B233,Post_Treat,0.37731,0.36644,-0.00979,
B24,Post_Treat,0.29233,0.24185,0.058932,no tissue? / reddish algae
B25,Post_Treat,0.53875,0.37854,0.16505,also no tissue / reddish algae
B26,Post_Treat,0.37554,0.41257,0.012806,
B266,Post_Treat,0.34903,0.36791,0.080215,
B27,Post_Treat,0.49559,0.56136,0.17471,
B2759,Post_Treat,0.4055,0.33121,0.033355,
B28,Post_Treat,0.48282,0.59412,0.049152,
B3,Post_Treat,0.56202,0.64237,-0.01854,
B30,Post_Treat,0.44903,0.53392,0.081229,algae overgrowth
B31,Post_Treat,0.46414,0.4267,0.073688,
B33,Post_Treat,0.3299,0.49542,0.038056,
B3366,Post_Treat,0.55855,0.58037,0.32727,
B34,Post_Treat,0.54259,0.26659,0.15915,no tissue
B35,Post_Treat,0.58356,0.7344,0.10241,
B36,Post_Treat,0.37409,0.38755,0.057419,no tissue
B3664,Post_Treat,0.48611,0.53956,-0.04963,
B37,Post_Treat,0.55547,0.65879,0.27742,
B38,Post_Treat,0.43656,0.62283,0.12125,
B39,Post_Treat,0.45651,0.6504,0.0649,
B3941,Post_Treat,0.33745,0.337,-0.00291,no tissue
B3998,Post_Treat,0.57338,0.5894,0.32523,
B4,Post_Treat,0.59863,0.42732,0.11412,
B40,Post_Treat,0.45412,0.6561,0.10346,algae/no tissue
B4037,Post_Treat,0.37785,0.26009,0.061912,algae
B41,Post_Treat,0.41911,0.54295,0.068117,algae
B43,Post_Treat,0.37937,0.52496,-0.00075,no tissue
B44,Post_Treat,0.43417,0.53942,0.025709,
B46,Post_Treat,0.38524,0.39917,-0.03083,algae
B47,Post_Treat,0.49448,0.58407,0.12191,
B49,Post_Treat,0.46576,0.53677,0.15884,
B5,Post_Treat,0.51733,0.41233,0.038793,
B50,Post_Treat,0.50504,0.543,0.040352,no tissue
B5431,Post_Treat,0.26252,0.40753,-0.05293,algae
B5628,Post_Treat,0.35349,0.36692,0.020703,no tissue
B57,Post_Treat,0.23651,0.36354,-0.04829,algae
B58,Post_Treat,0.5256,0.60265,0.13012,no tissue
B59,Post_Treat,0.18126,0.52972,-0.04798,algae
B60,Post_Treat,0.29783,0.27068,-0.00163,algae carpet
B616,Post_Treat,0.36375,0.36645,0.020575,
B62,Post_Treat,0.39836,0.53753,0.069249,no tissue
B6232,Post_Treat,0.37181,0.38452,-0.0534,
B63,Post_Treat,0.58076,0.64665,0.23355,
B64,Post_Treat,0.61874,0.68353,0.22642,
B65,Post_Treat,0.54983,0.6476,0.17241,
B67,Post_Treat,0.57465,0.63893,0.31626,
B6947,Post_Treat,0.53641,0.63971,-0.00102,
B7,Post_Treat,0.43454,0.61907,0.13137,no tissue
B70,Post_Treat,0.53216,0.65529,0.14437,
B73,Post_Treat,0.5142,0.53864,0.24498,no tissue?
B74,Post_Treat,0.46413,0.52551,0.11266,
B75,Post_Treat,0.40835,0.51376,0.10778,
B76,Post_Treat,0.46081,0.61797,0.054978,
B77,Post_Treat,0.39865,0.50025,0.19072,
B79,Post_Treat,0.50855,0.57498,0.21605,
B80,Post_Treat,0.54277,0.67547,0.17546,no tissue
B82,Post_Treat,0.47644,0.51307,0.064581,
B820,Post_Treat,0.48588,0.46815,-0.02811,
B83,Post_Treat,0.45119,0.61216,0.049435,no tissue
B84,Post_Treat,0.50376,0.56721,0.097331,
B85,Post_Treat,0.46511,0.54885,-0.00366,algae overgrowth
B87,Post_Treat,0.47183,0.62059,0.056716,no tissue
B919,Post_Treat,0.54806,0.53021,0.023979,
B92,Post_Treat,0.47863,0.61676,0.13661,no tissue
B93,Post_Treat,0.6185,0.71072,0.25063,
B94,Post_Treat,0.46731,0.5519,0.21836,
B9658,Post_Treat,0.40766,0.55914,0.1051,
B9940,Post_Treat,0.33794,0.39482,0.006809,
G1899,Post_Treat,0.38584,0.47361,-0.0383,
G1991,Post_Treat,0.62882,0.65989,0.14525,
G24,Post_Treat,0.44211,0.43596,0.081081,
G25,Post_Treat,0.43541,0.57478,0.16073,
G26,Post_Treat,0.50194,0.48488,-0.01809,gorgeous:)
G27,Post_Treat,0.29582,0.21338,-0.01087,
G28,Post_Treat,0.4337,0.4706,0.1522,minimal tissue
G29,Post_Treat,0.47684,0.5238,0.37463,no tissue
G30,Post_Treat,0.58914,0.53615,0.21673,
G31,Post_Treat,0.35529,0.30908,-0.02394,
G32,Post_Treat,0.43906,0.40075,0.036657,
G33,Post_Treat,0.37263,0.46547,0.097079,
G35,Post_Treat,0.46263,0.6197,0.17846,
G37,Post_Treat,0.61107,0.46336,0.18284,
G38,Post_Treat,0.44189,0.42253,-0.09922,goregous
G39,Post_Treat,0.45056,0.44864,-0.05851,algae carpet
G4,Post_Treat,0.51912,0.57864,0.18326,
G40,Post_Treat,0.46394,0.57383,0.17314,
G41,Post_Treat,0.5966,0.66199,0.19295,
G4161,Post_Treat,0.5904,0.64605,0.17525,
G42,Post_Treat,0.39995,0.28734,0.14239,
G43,Post_Treat,0.35366,0.29397,-0.01059,
G44,Post_Treat,0.50588,0.59901,0.12127,
G45,Post_Treat,0.53379,0.67474,0.15054,no tissue
G46,Post_Treat,0.40238,0.70797,0.002383,
G47,Post_Treat,0.4965,0.50707,0.15582,
G48,Post_Treat,0.359,0.44521,0.079229,no tissue
G52,Post_Treat,0.58423,0.36405,0.25764,no tissue
G54,Post_Treat,0.43386,0.41694,0.051321,
G55,Post_Treat,0.50942,0.51419,0.11577,no tissue
G56,Post_Treat,0.39221,0.31677,0.034872,algae circle growth
G58,Post_Treat,0.35685,0.34831,0.033796,algae circle growth
G59,Post_Treat,0.5943,0.6034,0.24298,
G60,Post_Treat,0.45186,0.5317,0.23382,
G6166,Post_Treat,0.56227,0.59683,0.31626,
G618,Post_Treat,0.45957,0.54554,0.20698,
G63,Post_Treat,0.53943,0.64503,0.32922,
G64,Post_Treat,0.55226,0.66201,0.24578,
G65,Post_Treat,0.47256,0.50267,0.13148,
G6642,Post_Treat,0.57369,0.60201,0.26087,
G67,Post_Treat,0.50671,0.61048,0.14134,
G6775,Post_Treat,0.5177,0.63236,0.002866,
G681,Post_Treat,0.60077,0.62106,0.2403,
G6961,Post_Treat,0.54788,0.56579,0.27148,
G6991,Post_Treat,0.51367,0.66241,-0.00258,no tissue/too much algae
G70,Post_Treat,0.46925,0.72836,0.028609,
G71,Post_Treat,0.46088,0.5138,0.25443,algae circle
G73,Post_Treat,0.52518,0.51835,0.18001,
G7472,Post_Treat,0.5349,0.586,0.16279,
G75,Post_Treat,0.51934,0.57147,0.21429,
G76,Post_Treat,0.49114,0.69075,0.15077,
G7673,Post_Treat,0.39538,0.55414,-0.01198,algae in center
G77,Post_Treat,0.42989,0.58557,0.15778,
G78,Post_Treat,0.44979,0.55548,0.20327,
G79,Post_Treat,0.26868,0.50702,0.028391,algae circle
G80,Post_Treat,0.54659,0.6344,0.13863,
G8171,Post_Treat,0.59879,0.61826,0.23114,
G8180,Post_Treat,0.49573,0.65458,-0.0129,
G83,Post_Treat,0.47991,0.56175,0.21678,
G84,Post_Treat,0.42314,0.58978,0.036031,lots of algae
G85,Post_Treat,0.50792,0.54635,0.17746,
G8677,Post_Treat,0.49585,0.57546,0.14778,
G87,Post_Treat,0.52655,0.57017,0.21709,
G8965,Post_Treat,0.55253,0.60103,0.18266,
G90,Post_Treat,0.56415,0.56952,0.25431,
G9116,Post_Treat,0.5371,0.60927,0.22837,
G92,Post_Treat,0.56077,0.61466,0.22034,
G93,Post_Treat,0.41127,0.48714,0.030969,broken/no tissue
G95,Post_Treat,0.59036,0.67843,0.23944,
G9669,Post_Treat,0.30981,0.44787,0.13781,
G97,Post_Treat,0.48892,0.58037,0.14959,
G98,Post_Treat,0.55115,0.68395,0.20818,no tissue
G9868,Post_Treat,0.56423,0.59713,0.2486,
G9877,Post_Treat,0.41292,0.58774,0.15157,no tissue
O1618,Post_Treat,0.42886,0.5338,0.017915,lots of algae
O1962,Post_Treat,0.48339,0.61652,0.11214,
O27,Post_Treat,0.35608,0.46284,0.074362,no tissue
O29,Post_Treat,0.28939,0.60707,-0.023,
O33,Post_Treat,0.2606,0.23624,0.019441,
O34,Post_Treat,0.3091,0.25794,0.039414,
O35,Post_Treat,0.27871,0.27126,-0.0007,
O36,Post_Treat,0.28531,0.22988,0.044008,
O37,Post_Treat,0.33543,0.37701,-0.08102,no tissue
O38,Post_Treat,0.38341,0.3832,0.001758,
O41,Post_Treat,0.33228,0.18107,0.027135,
O42,Post_Treat,0.45779,0.41572,-0.03694,
O43,Post_Treat,0.40843,0.31641,0.035822,
O44,Post_Treat,0.40258,0.38384,-0.11233,
O45,Post_Treat,0.36155,0.30294,0.015678,
O46,Post_Treat,0.40276,0.26366,0.015691,
O47,Post_Treat,0.42273,0.40086,0.024167,
O48,Post_Treat,0.40414,0.32644,0.022076,
O49,Post_Treat,0.421,0.38844,-0.00454,
O50,Post_Treat,0.40652,0.243,0.001648,
O51,Post_Treat,0.39954,0.30647,0.04484,
O52,Post_Treat,0.43794,0.40662,0.019488,
O53,Post_Treat,0.19865,0.2361,0.028786,no tissue
O54,Post_Treat,0.41281,0.3954,-0.02158,
O55,Post_Treat,0.43659,0.37962,-0.00655,
O56,Post_Treat,0.40609,0.2865,0.046165,
O57,Post_Treat,0.31449,0.43482,-0.03254,
O58,Post_Treat,0.32784,0.31074,0.00012,
O59,Post_Treat,0.32547,0.28299,0.019849,
O60,Post_Treat,0.34576,0.2497,-0.01686,
O62,Post_Treat,0.4268,0.28431,0.003801,
O63,Post_Treat,0.3225,0.30028,0.00503,
O64,Post_Treat,0.38044,0.39673,-0.03973,
O646,Post_Treat,0.49599,0.60538,0.048858,
O65,Post_Treat,0.43252,0.36827,0.0449,no tissue
O6566,Post_Treat,0.49382,0.60094,-0.09908,
O6661,Post_Treat,0.46522,0.49126,0.10835,
O67,Post_Treat,0.21309,0.33941,-0.01267,no tissue
O6719,Post_Treat,0.47232,0.55683,0.14192,
O6968,Post_Treat,0.58851,0.65034,0.31589,
O70,Post_Treat,0.36095,0.26963,0.051454,
O71,Post_Treat,0.33375,0.31084,0.035407,
O72,Post_Treat,0.37567,0.37041,-0.0183,
O73,Post_Treat,0.36982,0.34231,-0.03867,
O7398,Post_Treat,0.57386,0.6372,0.33397,
O74,Post_Treat,0.43021,0.36191,-0.00367,
O75,Post_Treat,0.41323,0.32319,0.028462,
O76,Post_Treat,0.38111,0.40804,0.005729,
O77,Post_Treat,0.45904,0.58873,0.20114,
O78,Post_Treat,0.54455,0.62816,0.21465,
O79,Post_Treat,0.54142,0.62551,0.25321,
O80,Post_Treat,0.44459,0.49955,0.22543,
O82,Post_Treat,0.51351,0.59267,0.24609,
O83,Post_Treat,0.34179,0.61277,-0.02103,lots of algae
O84,Post_Treat,0.57468,0.59635,0.32043,
O85,Post_Treat,0.49813,0.62511,0.17405,
O87,Post_Treat,0.54759,0.6349,0.22194,
O88,Post_Treat,0.35415,0.48738,0.11057,lots of algae
O89,Post_Treat,0.50364,0.57777,0.24449,
O916,Post_Treat,0.53367,0.62468,0.22327,
O92,Post_Treat,0.5825,0.6216,0.26156,
O93,Post_Treat,0.57688,0.57188,0.29374,
O94,Post_Treat,0.40659,0.46404,0.18288,
O95,Post_Treat,0.51354,0.6285,0.21893,
O9659,Post_Treat,0.57258,0.6582,0.27568,
O97,Post_Treat,0.53225,0.63716,0.25387,
O98,Post_Treat,0.43094,0.48712,-0.03339,lots of algae
O986,Post_Treat,0.65932,0.57632,0.35237,
W13,Post_Treat,0.43023,0.58564,0.16472,
W15,Post_Treat,0.47436,0.47231,0.13135,
W2,Post_Treat,0.53773,0.65128,0.089461,
W20,Post_Treat,0.42751,0.43253,0.17313,
W21,Post_Treat,0.59119,0.57229,0.23367,
W22,Post_Treat,0.49238,0.47346,0.075796,
W23,Post_Treat,0.47874,0.53786,0.21454,
W24,Post_Treat,0.48419,0.56232,0.21963,
W25,Post_Treat,0.49894,0.46946,0.13841,
W26,Post_Treat,0.55546,0.55454,0.21884,
W27,Post_Treat,0.47616,0.51261,0.13663,
W28,Post_Treat,0.45824,0.53754,0.18002,
W29,Post_Treat,0.52097,0.52921,0.095436,
W3,Post_Treat,0.45556,0.52054,-0.08226,lots of algae
W30,Post_Treat,0.62983,0.64862,0.2289,
W31,Post_Treat,0.51254,0.52765,0.15143,
W32,Post_Treat,0.44996,0.52992,0.08838,no tissue
W33,Post_Treat,0.49535,0.58573,0.27681,
W34,Post_Treat,0.51759,0.58821,0.19811,
W35,Post_Treat,0.39441,0.43257,0.039222,
W36,Post_Treat,0.48008,0.60406,0.12833,
W37,Post_Treat,0.50384,0.60588,0.16151,
W38,Post_Treat,0.46037,0.49183,0.086068,
W39,Post_Treat,0.46901,0.53976,0.19899,
W4,Post_Treat,0.41281,0.43687,-0.05493,lots of algae
W40,Post_Treat,0.56014,0.62033,0.1559,
W41,Post_Treat,0.53617,0.60239,0.22187,
W42,Post_Treat,0.44156,0.52173,0.11749,
W43,Post_Treat,0.4371,0.51098,0.20087,
W44,Post_Treat,0.48509,0.60426,0.06689,
W45,Post_Treat,0.39612,0.564,0.067781,no tissue
W46,Post_Treat,0.41829,0.55531,0.11495,
W48,Post_Treat,0.46592,0.42989,0.074057,
W5,Post_Treat,0.43243,0.44068,0.10775,
W51,Post_Treat,0.42704,0.50171,-0.00131,
W52,Post_Treat,0.55343,0.59116,0.23326,
W53,Post_Treat,0.4298,0.52932,0.16374,
W54,Post_Treat,0.44222,0.42901,0.12479,no tissue/red algae
W55,Post_Treat,0.31081,0.36504,0.15702,no tissue/red algae
W56,Post_Treat,0.38881,0.35489,0.12787,no tissue/red algae
W57,Post_Treat,0.38109,0.42713,0.10458,
W58,Post_Treat,0.62048,0.6416,0.29705,
W59,Post_Treat,0.49928,0.60471,0.2339,
W60,Post_Treat,0.53383,0.63267,0.13276,
W62,Post_Treat,0.5505,0.64984,0.04805,
W63,Post_Treat,0.55238,0.63567,0.16736,DEAD
W64,Post_Treat,0.54553,0.58205,0.18985,
W65,Post_Treat,0.50364,0.53799,0.23303,
W67,Post_Treat,0.5551,0.58218,0.29176,
W7,Post_Treat,0.43782,0.50431,0.02408,lots of algae
W71,Post_Treat,0.61362,0.64138,0.27197,
W72,Post_Treat,0.33073,0.44242,0.098611,
W73,Post_Treat,0.52391,0.67869,0.24441,
W74,Post_Treat,0.61795,0.73614,0.32374,
W75,Post_Treat,0.4855,0.70176,0.12419,
W76,Post_Treat,0.54801,0.7026,0.27007,
W77,Post_Treat,0.45799,0.68392,0.17657,
W78,Post_Treat,0.50523,0.61602,0.20739,
W8,Post_Treat,0.49286,0.57452,0.17856,
W80,Post_Treat,0.31723,0.30199,0.14549,no tissue/lots of dark algae in septa
W82,Post_Treat,0.55327,0.50355,0.12777,
W83,Post_Treat,0.46537,0.62856,0.17561,
W84,Post_Treat,0.52209,0.58765,0.16603,
W85,Post_Treat,0.56859,0.65004,0.12725,
W87,Post_Treat,0.52771,0.65506,0.20401,
W92,Post_Treat,0.31122,0.52684,-0.00581,dark/red algae in septa
W93,Post_Treat,0.51844,0.65594,0.1156,
W94,Post_Treat,0.37855,0.37624,0.16124,dark/red algae in septa
W95,Post_Treat,0.35814,0.36128,0.080381,dark/red algae in septa
Y1,Post_Treat,0.55928,0.58499,0.35817,
Y11,Post_Treat,0.35622,0.4255,0.11131,red algae in septa
Y113,Post_Treat,0.58789,0.5699,0.27648,
Y128,Post_Treat,0.44954,0.4782,0.19607,
Y137,Post_Treat,0.41338,0.50834,0.2158,
Y15,Post_Treat,0.50343,0.59197,0.11094,
Y156,Post_Treat,0.50772,0.63369,0.14356,
Y164,Post_Treat,0.38064,0.5458,0.02121,
Y17,Post_Treat,0.56276,0.46068,0.031809,
Y1819,Post_Treat,0.51121,0.63737,0.002338,
Y210,Post_Treat,0.31343,0.55449,0.025787,red algae in septa
Y2129,Post_Treat,0.4917,0.56996,0.20903,bad angle?
Y22,Post_Treat,0.34521,0.50248,0.014562,
Y2223,Post_Treat,0.56417,0.60573,0.16283,
Y23,Post_Treat,0.65689,0.50503,0.28904,
Y24,Post_Treat,0.63861,0.53938,0.14283,
Y2437,Post_Treat,0.47864,0.63531,0.19102,
Y25,Post_Treat,0.38531,0.42929,-0.03066,brown algae in septa
Y26,Post_Treat,0.48771,0.55404,0.10271,gorgeous
Y27,Post_Treat,0.46856,0.47978,0.19254,
Image,Post_Treat,Red,Green,Blue,
Y28,Post_Treat,0.46808,0.54418,0.16751,
Y2820,Post_Treat,0.58098,0.52297,0.12874,
Y29,Post_Treat,0.6434,0.43363,0.29476,
Y31,Post_Treat,0.32586,0.43381,0.048181,algae In septa
Y3130,Post_Treat,0.50572,0.62187,0.1927,
Y32,Post_Treat,0.47304,0.35227,0.095851,
Y3225,Post_Treat,0.58973,0.58694,0.23188,
Y33,Post_Treat,0.54081,0.4535,0.1665,
Y34,Post_Treat,0.5084,0.48288,0.1572,
Y3433,Post_Treat,0.50674,0.59939,0.15367,
Y35,Post_Treat,0.48178,0.56055,0.11652,
Y36,Post_Treat,0.52879,0.62469,0.085468,
Y3635,Post_Treat,0.47636,0.608,-0.10924,debris in septa?
Y37,Post_Treat,0.69532,0.52656,0.23316,
Y38,Post_Treat,0.54108,0.35843,0.21684,
Y39,Post_Treat,0.39428,0.35933,0.07649,
Y41,Post_Treat,0.39348,0.52878,-0.0273,yellow/brown algae in septa
Y4156,Post_Treat,0.42791,0.49118,-0.09014,
Y42,Post_Treat,0.40409,0.45195,0.013621,brown algae in septa
Y43,Post_Treat,0.45679,0.42907,0.091872,
Y4350,Post_Treat,0.44546,0.60216,0.061955,
Y44,Post_Treat,0.49794,0.68536,0.050632,
Y4451,Post_Treat,0.3751,0.50847,0.009655,
Y4542,Post_Treat,0.45543,0.62034,0.10771,
Y4738,Post_Treat,0.35462,0.36605,0.032579,
Y48,Post_Treat,0.52761,0.41197,0.27125,no tissue
Y4839,Post_Treat,0.50909,0.68248,-0.00088,
Y4940,Post_Treat,0.29616,0.25228,0.05055,
Y5,Post_Treat,0.47291,0.53318,0.07248,
Y51,Post_Treat,0.37529,0.369,0.13721,algae in septa
Y517,Post_Treat,0.55195,0.59049,0.22802,
Y5281,Post_Treat,0.32899,0.31561,0.034576,
Y53,Post_Treat,0.35342,0.23608,0.14288,
Y5354,Post_Treat,0.59066,0.69099,0.16935,
Y56,Post_Treat,0.49841,0.64353,0.077957,
Y5755,Post_Treat,0.47705,0.38171,-0.04299,
