"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.251896234648105","-0.579010860313022","-1.10012063459474","-0.00582074409838487","%","min","umol/min/g","A2","G29","15","sym","EC","PLS"
"2","-2.06224007042745","-4.74028283518515","-9.00653738685178","-0.0383256910078799","%","min","umol/min/g","A3","G31","15","sym","EC","PLS"
"3","-1.22529253952248","-2.81646801285116","-5.35128922441721","-0.0320436480504025","%","min","umol/min/g","A4","B27","15","sym","EC","PLS"
"4","-0.222408392817818","-0.511229852427848","-0.971336719612911","-0.00907791326741039","%","min","umol/min/g","A5","B30","15","sym","EC","PLS"
"5","-3.48645737586706","-8.01400103286797","-15.2266019624491","-0.126888349687076","%","min","umol/min/g","A6","W23","15","sym","EC","PLS"
"6","-0.446686076996602","-1.02675647412103","-1.95083730082995","-0.0100558623754121","%","min","umol/min/g","B2","W25","15","sym","EC","PLS"
"7","-1.31313738010227","-3.01838892202719","-5.73493895185167","-0.0239955604679986","%","min","umol/min/g","B3","W27","15","sym","EC","PLS"
"8","-0.674214452992511","-1.5497551640977","-2.94453481178563","-0.0272642112202373","%","min","umol/min/g","B4","Y21","15","sym","EC","PLS"
"9","-1.33562577396061","-3.07008093835752","-5.83315378287929","-0.0373920114287134","%","min","umol/min/g","B5","Y23","15","sym","EC","PLS"
"10","-3.45023474925104","-7.93073939051337","-15.0684048419754","-0.0595589124188751","%","min","umol/min/g","C2","G67","15","apo","EC","PLS"
"11","-0.223652273329418","-0.514089046913842","-0.976769189136299","-0.00581410231628749","%","min","umol/min/g","C3","G71","15","apo","EC","PLS"
"12","-5.17502743244022","-11.8953627472305","-21.4116529450149","-0.0509801260595593","%","min","umol/min/g","C4","B73","15","apo","EC","PLS"
"13","-8.78787568867857","-20.199886949219","-38.3797852035161","-0.369036396187655","%","min","umol/min/g","C5","B75","15","apo","EC","PLS"
"14","-0.669485089662288","-1.53888420870454","-2.92387999653862","-0.0144033497366435","%","min","umol/min/g","C6","W65","15","apo","EC","PLS"
"15","-0.0799309791859271","-0.183730039032777","-0.349087074162277","-0.00266478682566623","%","min","umol/min/g","D2","Y60","15","apo","EC","PLS"
"16","-0.0799309791859271","-0.183730039032777","-0.349087074162277","-0.00314492859605655","%","min","umol/min/g","D3","Y65","15","apo","EC","PLS"
