"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.288290108049758","-0.668085220119332","-1.26936191822673","-0.00616195105935306","%","min","umol/min/g","A2","G37","15","sym","EC"
"2","-0.0872662254556527","-0.202231272647275","-0.384239418029823","-0.00565057967690916","%","min","umol/min/g","A3","B34","15","sym","EC"
"3","-0.187555985557725","-0.434643362353606","-0.825822388471851","-0.00543304202942007","%","min","umol/min/g","A4","B36","15","sym","EC"
"4","-0.315950474802971","-0.732185519418232","-1.39115248689464","-0.0052895531821089","%","min","umol/min/g","A5","W29","15","sym","EC"
"5","-1.26559709346709","-2.93290227157366","-5.57251431598995","-0.0306182105274173","%","min","umol/min/g","A6","W31","15","sym","EC"
"6","-1.43029782933408","-3.31458074163937","-5.96624533495086","-0.0160382939111582","%","min","umol/min/g","B2","Y25","15","sym","EC"
"7","-0.414929791957058","-0.961560780801589","-1.82696548352302","-0.0137365825828798","%","min","umol/min/g","B3","Y27","15","sym","EC"
"8","-0.144914549606448","-0.335825843721311","-0.638069103070491","-0.00487075651198848","%","min","umol/min/g","B4","Y29","15","sym","EC"
"9","-3.44613108900433","-7.98608479053384","-15.1735611020143","-0.0751166391188827","%","min","umol/min/g","C2","G75","15","apo","EC"
"10","-0.31605521073771","-0.732428235099628","-1.39161364668929","-0.00669045022446775","%","min","umol/min/g","C3","G77","15","apo","EC"
"11","-0.315585531366325","-0.731339797316104","-1.3895456149006","-0.0055140699003992","%","min","umol/min/g","C4","B76","15","apo","EC"
"12","-0.177254316110729","-0.410770211982088","-0.780463402765967","-0.00402300723075241","%","min","umol/min/g","C5","B80","15","apo","EC"
"13","-0.130946556081442","-0.303456332009974","-0.576567030818951","-0.00436793205165872","%","min","umol/min/g","C6","W73","15","apo","EC"
"14","-0.121952856820805","-0.282614279568852","-0.536967131180819","-0.00536967131180819","%","min","umol/min/g","D2","W75","15","apo","EC"
"15","-0.121952856820805","-0.282614279568852","-0.536967131180819","-0.00342017281006891","%","min","umol/min/g","D3","Y67","15","apo","EC"
"16","-0.820442359858959","-1.90129803027093","-3.61246625751476","-0.0198487157006305","%","min","umol/min/g","D4","Y71","15","apo","EC"
"17","-0.412735500011047","-0.956475715525941","-1.81730385949929","-0.00741756677346648","%","min","umol/min/g","D5","Y73","15","apo","EC"
