"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.111461204571894","-0.258300861916246","-0.464941551449242","-0.00109398012105704","%","min","umol/min/g","A2","G33","15","sym","SW"
"2","-0.144279580165991","-0.334354361743428","-0.635273287312513","-0.00397045804570321","%","min","umol/min/g","A3","G35","15","sym","SW"
"3","-0.157726106710353","-0.3655154227559","-0.69447930323621","-0.00401433123257925","%","min","umol/min/g","A4","G38","15","sym","SW"
"4","-0.0434458757434372","-0.100681732216499","-0.191295291211349","-0.00102296947171844","%","min","umol/min/g","A5","B33","15","sym","SW"
"5","-0.1118798050779","-0.259270929231732","-0.49261476554029","-0.00269188396470104","%","min","umol/min/g","A6","B35","15","sym","SW"
"6","-0.151745299488363","-0.35165546433962","-0.668145382245279","-0.00367112847387516","%","min","umol/min/g","B2","W28","15","sym","SW"
"7","-0.0923798419206421","-0.214081598018233","-0.406755036234643","-0.00292629522470966","%","min","umol/min/g","B3","W30","15","sym","SW"
"8","-0.11238155572612","-0.260433689183949","-0.494824009449502","-0.00247412004724751","%","min","umol/min/g","B4","W32","15","sym","SW"
"9","-0.170529489969477","-0.395186059673722","-0.750853513380071","-0.00472234914075516","%","min","umol/min/g","B5","Y26","15","sym","SW"
"10","-0.134287680194109","-0.311199073005693","-0.591278238710816","-0.0036954889919426","%","min","umol/min/g","B6","Y28","15","sym","SW"
"11","-0.0421392547440513","-0.0976537609000622","-0.185542145710118","-0.00234863475582428","%","min","umol/min/g","C2","G76","15","apo","SW"
"12","-0.081238562765527","-0.188262731088983","-0.357699189069067","-0.00255499420763619","%","min","umol/min/g","C3","G78","15","apo","SW"
"13","-0.123775045502091","-0.286837030513973","-0.544990357976548","-0.00302772421098082","%","min","umol/min/g","C4","B77","15","apo","SW"
"14","-0.0783738572645252","-0.181624045432506","-0.345085686321762","-0.00228533567100505","%","min","umol/min/g","C5","B79","15","apo","SW"
"15","-0.144890463689201","-0.33577002687267","-0.637963051058073","-0.00422492086793426","%","min","umol/min/g","C6","W72","15","apo","SW"
"16","-0.0974107193568254","-0.225740183469128","-0.428906348591344","-0.00161242988192235","%","min","umol/min/g","D2","W74","15","apo","SW"
"17","-0.0974107193568254","-0.225740183469128","-0.428906348591344","-0.00389914862355767","%","min","umol/min/g","D3","W76","15","apo","SW"
"18","-0.0813546884631389","-0.188531841474959","-0.358210498802423","-0.00303568219324087","%","min","umol/min/g","D4","Y70","15","apo","SW"
"19","-0.0947553248604575","-0.219586556386289","-0.417214457133949","-0.0035357157384233","%","min","umol/min/g","D5","Y72","15","apo","SW"
