BTag,Day,Mass.G,mass.mg,logmass.mg,Fvfm,Rcolor,MR,logMR,Colony,Fragment,Phenotype,Treatment,Temperature,Tank,Tile,DaysAlive,Censored,Bacteria
B20,Day15,0.098,98,4.58496748,0.188,NA,0.00294,-5.8293457,S5,2,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B20,Day22,0.101,101,4.61512052,0.115,0.60432,0.00094,-6.9696307,S5,2,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B20,Day8,0.097,97,4.57471098,0.059,NA,0.00443,-5.4193557,S5,2,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B21,Day0,0.041,41,3.71357207,NA,0.41699,NA,NA,S6,3,Sym,PDS,Elevated (30C),A2,17,13,N,EC
B21,Day1,NA,NA,NA,0.096,0.41285,NA,NA,S6,3,Sym,PDS,Elevated (30C),A2,17,13,N,EC
B21,Day15,NA,NA,NA,NA,NA,NA,NA,S6,3,Sym,PDS,Elevated (30C),A2,17,13,N,EC
B21,Day22,NA,NA,NA,NA,NA,NA,NA,S6,3,Sym,PDS,Elevated (30C),A2,17,13,N,EC
B21,Day8,0.038,38,3.63758616,0.504,NA,0.01354,-4.302107,S6,3,Sym,PDS,Elevated (30C),A2,17,13,N,EC
B22,Day0,0.114,114,4.73619845,NA,0.59692,NA,NA,A1,7,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B22,Day1,NA,NA,NA,0.131,0.49901,NA,NA,A1,7,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B22,Day15,0.161,161,5.08140436,0.31,NA,0.00601,-5.1143305,A1,7,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B22,Day22,0.141,141,4.94875989,0.397,0.39409,0.00608,-5.1027506,A1,7,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B22,Day8,0.137,137,4.91998093,0.176,NA,0.00562,-5.1814236,A1,7,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B23,Day0,0.162,162,5.08759634,NA,0.51963,NA,NA,A2,3,Apo,NLF,Elevated (30C),H1,16,18,N,EC
B23,Day1,NA,NA,NA,0.176,0.52828,NA,NA,A2,3,Apo,NLF,Elevated (30C),H1,16,18,N,EC
B23,Day15,0.098,98,4.58496748,0.067,NA,0.00976,-4.6294629,A2,3,Apo,NLF,Elevated (30C),H1,16,18,N,EC
B23,Day22,NA,NA,NA,NA,NA,NA,NA,A2,3,Apo,NLF,Elevated (30C),H1,16,18,N,EC
B23,Day8,0.096,96,4.56434819,0.176,NA,0.09761,-2.3267753,A2,3,Apo,NLF,Elevated (30C),H1,16,18,N,EC
B233,Day0,0.387,387,5.95842469,NA,0.20135,NA,NA,S18,4,Sym,Control,Ambient (19C),Tray,87,22,N,EC
B233,Day1,NA,NA,NA,NA,NA,NA,NA,S18,4,Sym,Control,Ambient (19C),Tray,87,22,N,EC
B233,Day15,NA,NA,NA,NA,NA,NA,NA,S18,4,Sym,Control,Ambient (19C),Tray,87,22,N,EC
B233,Day22,0.35,350,5.85793315,0.39,0.37731,0.07215,-2.629008,S18,4,Sym,Control,Ambient (19C),Tray,87,22,N,EC
B233,Day8,NA,NA,NA,NA,NA,NA,NA,S18,4,Sym,Control,Ambient (19C),Tray,87,22,N,EC
B24,Day0,0.239,239,5.47646355,NA,0.56253,NA,NA,A2,11,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B24,Day1,NA,NA,NA,0.17,0.52877,NA,NA,A2,11,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B24,Day15,0.214,214,5.36597602,0.11,NA,0.00487,-5.3246613,A2,11,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B24,Day22,0.198,198,5.28826703,0.324,0.29233,0.00534,-5.2325296,A2,11,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B24,Day8,0.213,213,5.36129217,0.129,NA,0.00628,-5.0703853,A2,11,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B25,Day0,0.083,83,4.41884061,NA,0.46201,NA,NA,A3,5,Apo,NLF,Elevated (30C),H1,16,22,N,EC
B25,Day1,NA,NA,NA,0.138,0.50723,NA,NA,A3,5,Apo,NLF,Elevated (30C),H1,16,22,N,EC
B25,Day15,0.079,79,4.36944785,0.054,NA,0.01007,-4.5981946,A3,5,Apo,NLF,Elevated (30C),H1,16,22,N,EC
B25,Day22,0.073,73,4.29045944,0.223,0.53875,0.00857,-4.7594875,A3,5,Apo,NLF,Elevated (30C),H1,16,22,N,EC
B25,Day8,0.074,74,4.30406509,0.213,NA,0.01141,-4.4732651,A3,5,Apo,NLF,Elevated (30C),H1,16,22,N,EC
B26,Day0,0.298,298,5.69709349,NA,0.38638,NA,NA,A3,13,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B26,Day1,NA,NA,NA,0.161,0.37194,NA,NA,A3,13,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B26,Day15,0.303,303,5.71373281,0.06,NA,0.00628,-5.0703853,A3,13,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B26,Day22,0.299,299,5.70044357,0.446,0.37554,0.00856,-4.7606551,A3,13,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B26,Day8,0.291,291,5.67332327,0.163,NA,0.00903,-4.7072029,A3,13,Apo,NLF,Elevated (30C),H1,16,22,N,SW
B266,Day0,0.35,350,5.85793315,NA,0.16748,NA,NA,S17,7,Sym,Control,Ambient (19C),Tray,87,22,N,SW
B266,Day1,NA,NA,NA,NA,NA,NA,NA,S17,7,Sym,Control,Ambient (19C),Tray,87,22,N,SW
B266,Day15,NA,NA,NA,NA,NA,NA,NA,S17,7,Sym,Control,Ambient (19C),Tray,87,22,N,SW
B266,Day22,0.343,343,5.83773045,0.363,0.34903,0.00548,-5.2066502,S17,7,Sym,Control,Ambient (19C),Tray,87,22,N,SW
B266,Day8,NA,NA,NA,NA,NA,NA,NA,S17,7,Sym,Control,Ambient (19C),Tray,87,22,N,SW
B27,Day0,0.177,177,5.17614973,NA,0.26098,NA,NA,S4,18,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B27,Day1,NA,NA,NA,0.335,0.29448,NA,NA,S4,18,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B27,Day15,0.167,167,5.11799381,0.099,NA,0.03204,-3.4407702,S4,18,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B27,Day22,0.169,169,5.12989871,0.072,0.49559,0.00845,-4.7735888,S4,18,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B27,Day8,0.182,182,5.20400669,0.046,NA,0.00885,-4.7273378,S4,18,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B2759,Day0,0.391,391,5.96870756,NA,0.30902,NA,NA,S18,5,Sym,Control,Ambient (19C),Tray,88,22,N,NA
B2759,Day1,NA,NA,NA,NA,NA,NA,NA,S18,5,Sym,Control,Ambient (19C),Tray,88,22,N,NA
B2759,Day15,NA,NA,NA,NA,NA,NA,NA,S18,5,Sym,Control,Ambient (19C),Tray,88,22,N,NA
B2759,Day22,0.376,376,5.92958914,0.377,0.4055,NA,NA,S18,5,Sym,Control,Ambient (19C),Tray,88,22,N,NA
B2759,Day8,NA,NA,NA,NA,NA,NA,NA,S18,5,Sym,Control,Ambient (19C),Tray,88,22,N,NA
B28,Day0,0.169,169,5.12989871,NA,0.27661,NA,NA,S4,2,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B28,Day1,NA,NA,NA,0.304,0.42035,NA,NA,S4,2,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B28,Day15,0.152,152,5.02388052,0.157,NA,0.00455,-5.392628,S4,2,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B28,Day22,0.147,147,4.99043259,0.051,0.48282,0.00395,-5.5340397,S4,2,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B28,Day8,0.161,161,5.08140436,0.039,NA,0.01327,-4.3222494,S4,2,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B29,Day0,0.175,175,5.16478597,NA,0.34096,NA,NA,S4,9,Sym,PLS,Elevated (30C),B2,18,8,N,NA
B29,Day1,NA,NA,NA,0.17,0.3782,NA,NA,S4,9,Sym,PLS,Elevated (30C),B2,18,8,N,NA
B29,Day15,NA,NA,NA,NA,NA,NA,NA,S4,9,Sym,PLS,Elevated (30C),B2,18,8,N,NA
B29,Day22,NA,NA,NA,NA,NA,NA,NA,S4,9,Sym,PLS,Elevated (30C),B2,18,8,N,NA
B29,Day8,NA,NA,NA,NA,NA,NA,NA,S4,9,Sym,PLS,Elevated (30C),B2,18,8,N,NA
B3,Day0,0.071,71,4.26267988,NA,0.39183,NA,NA,S27,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B3,Day1,NA,NA,NA,0.324,0.45901,NA,NA,S27,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B3,Day15,0.063,63,4.14313473,0.081,NA,0.00736,-4.9116953,S27,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B3,Day22,0.049,49,3.8918203,0.413,0.56202,0.00562,-5.1814236,S27,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B3,Day8,0.069,69,4.2341065,0.223,NA,0.00951,-4.6554114,S27,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B30,Day0,0.173,173,5.15329159,NA,0.18461,NA,NA,S5,3,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B30,Day1,NA,NA,NA,0.157,0.31117,NA,NA,S5,3,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B30,Day15,0.107,107,4.67282883,0.353,NA,0.00908,-4.7016811,S5,3,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B30,Day22,0.098,98,4.58496748,0.211,0.44903,0.0578,-2.8507665,S5,3,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B30,Day8,0.165,165,5.10594547,0.094,NA,0.02239,-3.7991408,S5,3,Sym,PLS,Elevated (30C),B2,18,22,N,EC
B31,Day0,0.116,116,4.75359019,NA,0.48042,NA,NA,S6,4,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B31,Day1,NA,NA,NA,0.167,0.40576,NA,NA,S6,4,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B31,Day15,0.106,106,4.66343909,0.211,NA,0.00848,-4.7700448,S6,4,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B31,Day22,0.107,107,4.67282883,0.036,0.46414,0.0083,-4.7914998,S6,4,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B31,Day8,0.107,107,4.67282883,0.14,NA,0.01669,-4.0929455,S6,4,Sym,PLS,Elevated (30C),B2,18,22,N,SW
B32,Day0,0.094,94,4.54329478,NA,0.41711,NA,NA,S4,3,Sym,NDS,Elevated (30C),C2,19,8,Y,NA
B32,Day1,NA,NA,NA,0.12,0.36393,NA,NA,S4,3,Sym,NDS,Elevated (30C),C2,19,8,Y,NA
B32,Day15,NA,NA,NA,NA,NA,NA,NA,S4,3,Sym,NDS,Elevated (30C),C2,19,8,Y,NA
B32,Day22,NA,NA,NA,NA,NA,NA,NA,S4,3,Sym,NDS,Elevated (30C),C2,19,8,Y,NA
B32,Day8,NA,NA,NA,0.069,NA,NA,NA,S4,3,Sym,NDS,Elevated (30C),C2,19,8,Y,NA
B33,Day0,0.197,197,5.28320373,NA,0.29403,NA,NA,S4,10,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B33,Day1,NA,NA,NA,0.255,0.40305,NA,NA,S4,10,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B33,Day15,0.187,187,5.23110862,0.199,NA,0.00102,-6.8879527,S4,10,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B33,Day22,0.183,183,5.20948615,0.334,0.3299,0.0018,-6.3199686,S4,10,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B33,Day8,0.191,191,5.25227343,0.078,NA,0.01097,-4.512591,S4,10,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B3366,Day0,0.266,266,5.58349631,NA,0.50229,NA,NA,A22,3,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3366,Day1,NA,NA,NA,NA,NA,NA,NA,A22,3,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3366,Day15,NA,NA,NA,NA,NA,NA,NA,A22,3,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3366,Day22,0.225,225,5.4161004,0.074,0.55855,NA,NA,A22,3,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3366,Day8,NA,NA,NA,NA,NA,NA,NA,A22,3,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B34,Day0,0.093,93,4.53259949,NA,0.52774,NA,NA,S30,2,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B34,Day1,NA,NA,NA,0.159,0.44739,NA,NA,S30,2,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B34,Day15,0.068,68,4.21950771,0.125,NA,0.00565,-5.1760997,S30,2,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B34,Day22,0.056,56,4.02535169,0.12,0.54259,0.00725,-4.9267538,S30,2,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B34,Day8,0.077,77,4.34380542,0.128,NA,0.00744,-4.9008844,S30,2,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B35,Day0,0.196,196,5.27811466,NA,0.49093,NA,NA,S5,4,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B35,Day1,NA,NA,NA,0.244,0.38592,NA,NA,S5,4,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B35,Day15,0.183,183,5.20948615,0.221,NA,0.00269,-5.9182141,S5,4,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B35,Day22,0.177,177,5.17614973,0.113,0.58356,0.00214,-6.1469494,S5,4,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B35,Day8,0.208,208,5.33753808,0.159,NA,0.00376,-5.5833363,S5,4,Sym,NDS,Elevated (30C),C2,19,22,N,SW
B36,Day0,0.174,174,5.1590553,NA,0.37253,NA,NA,S6,5,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B36,Day1,NA,NA,NA,0.341,0.3461,NA,NA,S6,5,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B36,Day15,0.152,152,5.02388052,0.129,NA,0.00543,-5.2158161,S6,5,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B36,Day22,0.146,146,4.98360662,0.147,0.37409,0.00492,-5.3144467,S6,5,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B36,Day8,0.16,160,5.07517382,0.146,NA,0.00975,-4.630488,S6,5,Sym,NDS,Elevated (30C),C2,19,22,N,EC
B37,Day0,0.09,90,4.49980967,NA,0.46342,NA,NA,S4,4,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B37,Day1,NA,NA,NA,0.291,0.42721,NA,NA,S4,4,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B37,Day15,0.074,74,4.30406509,0.229,NA,0.00787,-4.8446972,S4,4,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B37,Day22,0.052,52,3.95124372,0.353,0.55547,0.01163,-4.4541673,S4,4,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B37,Day8,0.071,71,4.26267988,0.187,NA,0.03155,-3.4561817,S4,4,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B38,Day0,0.184,184,5.21493576,NA,0.27912,NA,NA,S4,11,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B38,Day1,NA,NA,NA,0.15,0.28515,NA,NA,S4,11,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B38,Day15,0.171,171,5.14166356,0.156,NA,0.0047,-5.3601928,S4,11,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B38,Day22,0.172,172,5.14749448,0.155,0.43656,0.02017,-3.9035589,S4,11,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B38,Day8,0.166,166,5.11198779,0.223,NA,0.01458,-4.2281046,S4,11,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B39,Day0,0.144,144,4.9698133,NA,0.32051,NA,NA,S4,20,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B39,Day1,NA,NA,NA,0.127,0.36966,NA,NA,S4,20,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B39,Day15,0.145,145,4.97673374,0.233,NA,0.08461,-2.4697028,S4,20,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B39,Day22,0.139,139,4.93447393,0.121,0.45651,0.01323,-4.3252683,S4,20,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B39,Day8,0.158,158,5.06259503,0.17,NA,0.02443,-3.7119434,S4,20,Sym,NLS,Elevated (30C),D2,20,22,N,EC
B3941,Day0,0.167,167,5.11799381,NA,0.29977,NA,NA,S20,2,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B3941,Day1,NA,NA,NA,NA,NA,NA,NA,S20,2,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B3941,Day15,NA,NA,NA,NA,NA,NA,NA,S20,2,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B3941,Day22,0.162,162,5.08759634,0.376,0.33745,0.27439,-1.2932048,S20,2,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B3941,Day8,NA,NA,NA,NA,NA,NA,NA,S20,2,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B3998,Day0,0.315,315,5.75257264,NA,0.50181,NA,NA,A18,1,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3998,Day1,NA,NA,NA,NA,NA,NA,NA,A18,1,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3998,Day15,NA,NA,NA,NA,NA,NA,NA,A18,1,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3998,Day22,0.29,290,5.66988092,0.148,0.57338,NA,NA,A18,1,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B3998,Day8,NA,NA,NA,NA,NA,NA,NA,A18,1,Apo,Control,Ambient (19C),Tray,89,22,N,NA
B4,Day0,0.19,190,5.24702407,NA,0.35252,NA,NA,S28,3,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B4,Day1,NA,NA,NA,0.216,0.46046,NA,NA,S28,3,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B4,Day15,0.185,185,5.22035583,0.083,NA,0.019,-3.9633163,S28,3,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B4,Day22,0.175,175,5.16478597,0.312,0.59863,0.00931,-4.6766662,S28,3,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B4,Day8,0.185,185,5.22035583,0.075,NA,0.01713,-4.066924,S28,3,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B40,Day0,0.126,126,4.83628191,NA,0.27555,NA,NA,S5,5,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B40,Day1,NA,NA,NA,0.158,0.45221,NA,NA,S5,5,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B40,Day15,0.108,108,4.68213123,0.142,NA,0.00545,-5.2121397,S5,5,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B40,Day22,0.105,105,4.65396035,0.171,0.45412,0.00575,-5.1585554,S5,5,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B40,Day8,0.115,115,4.74493213,0.127,NA,0.00649,-5.0374927,S5,5,Sym,NLS,Elevated (30C),D2,20,22,N,SW
B4037,Day0,0.283,283,5.6454469,NA,0.32595,NA,NA,S30,5,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B4037,Day1,NA,NA,NA,NA,NA,NA,NA,S30,5,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B4037,Day15,NA,NA,NA,NA,NA,NA,NA,S30,5,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B4037,Day22,0.276,276,5.62040087,0.411,0.37785,NA,NA,S30,5,Sym,Control,Ambient (19C),Tray,86,22,N,NA
