input.rate,converted.rate,volumetric,mass.specific,input.o2.unit,input.time.unit,output.unit,vial,B.TAG,Day,Sym.state,Bacteria,Treatment,Plastic,Light,Food,Temperature
-4.91535,-11.0652,-21.0239,-0.12153,%,min,umol/min/g,B2,W25,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.48787,-3.34943,-6.36392,-0.02779,%,min,umol/min/g,B3,W27,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.42399,-0.95446,-1.81347,-0.01201,%,min,umol/min/g,B4,Y23,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-2.4544,-5.52523,-10.4979,-0.04069,%,min,umol/min/g,C2,G67,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.32229,-0.72552,-1.3785,-0.00835,%,min,umol/min/g,C3,G71,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-2.18843,-4.9265,-8.8677,-0.02184,%,min,umol/min/g,C4,B73,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-3.70219,-8.33419,-15.835,-0.14266,%,min,umol/min/g,C5,B75,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-1.5249,-3.43279,-6.5223,-0.03197,%,min,umol/min/g,C6,W65,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.27401,-0.61684,-1.172,-0.00881,%,min,umol/min/g,D2,Y60,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.27401,-0.61684,-1.172,-0.01019,%,min,umol/min/g,D3,Y65,22,apo,EC,PLS,Plastic,Light,Starved,Elevated
-1.5758,-3.63429,-6.90516,-0.13029,%,min,umol/min/g,A2,G34,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.15543,-2.66479,-5.06309,-0.02366,%,min,umol/min/g,A3,G37,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.13069,-0.30142,-0.57269,-0.00744,%,min,umol/min/g,A5,B34,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.35608,-0.82123,-1.56033,-0.00975,%,min,umol/min/g,A6,B36,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-2.1493,-4.95697,-9.41825,-0.03501,%,min,umol/min/g,B2,W29,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-3.59847,-8.29922,-15.7685,-0.05862,%,min,umol/min/g,B3,W31,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-5.01198,-11.5592,-20.8066,-0.04761,%,min,umol/min/g,B4,Y25,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.152,-0.35057,-0.66609,-0.00476,%,min,umol/min/g,B5,Y27,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.60851,-1.40341,-2.66647,-0.01961,%,min,umol/min/g,B6,Y29,8,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.54501,-1.25696,-2.38822,-0.01081,%,min,umol/min/g,C2,G75,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.27325,-0.63021,-1.19739,-0.00547,%,min,umol/min/g,C3,G77,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.84514,-1.94915,-3.70339,-0.01347,%,min,umol/min/g,C4,B76,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.26522,-2.91799,-5.54418,-0.02731,%,min,umol/min/g,C6,B80,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.99262,-2.28929,-4.34966,-0.03198,%,min,umol/min/g,D2,W73,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.99262,-2.28929,-4.34966,-0.04143,%,min,umol/min/g,D3,W75,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.83369,-4.22908,-8.03524,-0.0493,%,min,umol/min/g,D4,Y67,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-4.84138,-11.1658,-21.2149,-0.10715,%,min,umol/min/g,D5,Y71,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.63612,-3.77341,-7.16948,-0.02705,%,min,umol/min/g,D6,Y73,8,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.7009,-3.92282,-7.06107,-0.01559,%,min,umol/min/g,A2,G33,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.54647,-1.26034,-2.39464,-0.01409,%,min,umol/min/g,A3,G35,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.88657,-2.04472,-3.88496,-0.02183,%,min,umol/min/g,A4,G38,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.47794,-1.10228,-2.09434,-0.01097,%,min,umol/min/g,A5,B33,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.17846,-0.41158,-0.782,-0.00376,%,min,umol/min/g,A6,B35,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.51646,-1.19112,-2.26312,-0.01185,%,min,umol/min/g,B2,W28,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.15695,-0.36197,-0.68775,-0.00488,%,min,umol/min/g,B3,W30,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09418,-0.21721,-0.4127,-0.00196,%,min,umol/min/g,B4,W32,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.30513,-0.70372,-1.33706,-0.00777,%,min,umol/min/g,B5,Y26,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.30381,-0.70069,-1.33132,-0.00774,%,min,umol/min/g,B6,Y28,8,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.04994,-0.11517,-0.20731,-0.00247,%,min,umol/min/g,C3,G76,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.25071,-0.57822,-1.09862,-0.00723,%,min,umol/min/g,C4,G78,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-1.0004,-2.30723,-4.38375,-0.02319,%,min,umol/min/g,C5,B77,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.0921,-0.21241,-0.40357,-0.00246,%,min,umol/min/g,C6,B79,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.14045,-0.32392,-0.61545,-0.00366,%,min,umol/min/g,D2,W72,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.14045,-0.32392,-0.61545,-0.00224,%,min,umol/min/g,D3,W74,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.13485,-0.31101,-0.59091,-0.00497,%,min,umol/min/g,D4,W76,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.11063,-0.25515,-0.48479,-0.00263,%,min,umol/min/g,D5,Y70,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.0649,-0.14968,-0.2844,-0.00226,%,min,umol/min/g,D6,Y72,8,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.28829,-0.66809,-1.26936,-0.00616,%,min,umol/min/g,A2,G37,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.08727,-0.20223,-0.38424,-0.00565,%,min,umol/min/g,A3,B34,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.18756,-0.43464,-0.82582,-0.00543,%,min,umol/min/g,A4,B36,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.31595,-0.73219,-1.39115,-0.00529,%,min,umol/min/g,A5,W29,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.2656,-2.9329,-5.57251,-0.03062,%,min,umol/min/g,A6,W31,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.4303,-3.31458,-5.96625,-0.01604,%,min,umol/min/g,B2,Y25,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.41493,-0.96156,-1.82697,-0.01374,%,min,umol/min/g,B3,Y27,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.14491,-0.33583,-0.63807,-0.00487,%,min,umol/min/g,B4,Y29,15,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-3.44613,-7.98608,-15.1736,-0.07512,%,min,umol/min/g,C2,G75,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.31606,-0.73243,-1.39161,-0.00669,%,min,umol/min/g,C3,G77,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.31559,-0.73134,-1.38955,-0.00551,%,min,umol/min/g,C4,B76,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.17725,-0.41077,-0.78046,-0.00402,%,min,umol/min/g,C5,B80,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.13095,-0.30346,-0.57657,-0.00437,%,min,umol/min/g,C6,W73,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.12195,-0.28261,-0.53697,-0.00537,%,min,umol/min/g,D2,W75,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.12195,-0.28261,-0.53697,-0.00342,%,min,umol/min/g,D3,Y67,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.82044,-1.9013,-3.61247,-0.01985,%,min,umol/min/g,D4,Y71,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.41274,-0.95648,-1.8173,-0.00742,%,min,umol/min/g,D5,Y73,15,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.11146,-0.2583,-0.46494,-0.00109,%,min,umol/min/g,A2,G33,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.14428,-0.33435,-0.63527,-0.00397,%,min,umol/min/g,A3,G35,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.15773,-0.36552,-0.69448,-0.00401,%,min,umol/min/g,A4,G38,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.04345,-0.10068,-0.1913,-0.00102,%,min,umol/min/g,A5,B33,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.11188,-0.25927,-0.49261,-0.00269,%,min,umol/min/g,A6,B35,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.15175,-0.35166,-0.66815,-0.00367,%,min,umol/min/g,B2,W28,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09238,-0.21408,-0.40676,-0.00293,%,min,umol/min/g,B3,W30,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.11238,-0.26043,-0.49482,-0.00247,%,min,umol/min/g,B4,W32,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.17053,-0.39519,-0.75085,-0.00472,%,min,umol/min/g,B5,Y26,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.13429,-0.3112,-0.59128,-0.0037,%,min,umol/min/g,B6,Y28,15,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.04214,-0.09765,-0.18554,-0.00235,%,min,umol/min/g,C2,G76,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.08124,-0.18826,-0.3577,-0.00255,%,min,umol/min/g,C3,G78,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.12378,-0.28684,-0.54499,-0.00303,%,min,umol/min/g,C4,B77,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.07837,-0.18162,-0.34509,-0.00229,%,min,umol/min/g,C5,B79,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.14489,-0.33577,-0.63796,-0.00422,%,min,umol/min/g,C6,W72,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09741,-0.22574,-0.42891,-0.00161,%,min,umol/min/g,D2,W74,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09741,-0.22574,-0.42891,-0.0039,%,min,umol/min/g,D3,W76,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.08135,-0.18853,-0.35821,-0.00304,%,min,umol/min/g,D4,Y70,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09476,-0.21959,-0.41721,-0.00354,%,min,umol/min/g,D5,Y72,15,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.18769,-0.43406,-0.82472,-0.0041,%,min,umol/min/g,A2,G37,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.09243,-0.21376,-0.40614,-0.00725,%,min,umol/min/g,A3,B34,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.16344,-0.37797,-0.71815,-0.00492,%,min,umol/min/g,A4,B36,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-3.80547,-8.80061,-16.7212,-0.06688,%,min,umol/min/g,A5,W29,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-1.49441,-3.45601,-6.56641,-0.0371,%,min,umol/min/g,A6,W31,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-3.43074,-7.934,-14.2812,-0.03839,%,min,umol/min/g,B2,Y25,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.19934,-0.46099,-0.87588,-0.00684,%,min,umol/min/g,B3,Y27,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.08636,-0.19972,-0.37947,-0.00292,%,min,umol/min/g,B4,Y29,22,sym,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.56936,-1.31671,-2.50175,-0.01245,%,min,umol/min/g,C2,G75,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.24683,-0.57082,-1.08456,-0.00524,%,min,umol/min/g,C3,G77,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.21444,-0.49592,-0.94226,-0.00393,%,min,umol/min/g,C4,B76,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.18315,-0.42356,-0.80476,-0.00415,%,min,umol/min/g,C5,B80,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.10353,-0.23942,-0.45489,-0.00353,%,min,umol/min/g,C6,W73,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.09331,-0.21894,-0.41599,-0.00416,%,min,umol/min/g,D2,W75,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.25128,-0.5811,-1.1041,-0.00722,%,min,umol/min/g,D3,Y67,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.32466,-0.75082,-1.42656,-0.00801,%,min,umol/min/g,D4,Y71,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.4439,-1.02656,-1.95047,-0.00841,%,min,umol/min/g,D5,Y73,22,apo,EC,NDS,NoPlastic,Dark,Starved,Elevated
-0.11615,-0.26861,-0.4835,-0.00115,%,min,umol/min/g,A2,G33,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.08178,-0.18912,-0.35932,-0.00236,%,min,umol/min/g,A3,G35,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.13801,-0.31916,-0.6064,-0.00368,%,min,umol/min/g,A4,G38,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.07499,-0.17341,-0.32948,-0.0018,%,min,umol/min/g,A5,B33,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.08615,-0.19924,-0.37856,-0.00214,%,min,umol/min/g,A6,B35,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.06128,-0.14171,-0.26925,-0.0015,%,min,umol/min/g,B2,W28,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.07753,-0.17929,-0.34065,-0.00252,%,min,umol/min/g,B3,W30,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.06264,-0.14485,-0.27522,-0.00143,%,min,umol/min/g,B4,W32,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.07926,-0.18329,-0.34825,-0.00231,%,min,umol/min/g,B5,Y26,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.12581,-0.29096,-0.55282,-0.00359,%,min,umol/min/g,B6,Y28,22,sym,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.04234,-0.09793,-0.18606,-0.00251,%,min,umol/min/g,C2,G76,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.07383,-0.17074,-0.32441,-0.00239,%,min,umol/min/g,C3,G78,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.12811,-0.29627,-0.56292,-0.00327,%,min,umol/min/g,C4,B77,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.0724,-0.16743,-0.31812,-0.00214,%,min,umol/min/g,C5,B79,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.09452,-0.21859,-0.41532,-0.00159,%,min,umol/min/g,C6,W72,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.03449,-0.07975,-0.15153,-0.001,%,min,umol/min/g,D2,W74,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.03449,-0.07975,-0.15153,-0.00142,%,min,umol/min/g,D3,W76,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.06445,-0.14904,-0.28317,-0.00164,%,min,umol/min/g,D4,Y70,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-0.08707,-0.20135,-0.38256,-0.00354,%,min,umol/min/g,D5,Y72,22,apo,SW,NDS,NoPlastic,Dark,Starved,Elevated
-2.46604,-5.4868,-9.87624,-0.02922,%,min,umol/min/g,A2,G40,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.55926,-1.24432,-2.3642,-0.01351,%,min,umol/min/g,A3,G42,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.52982,-1.17882,-2.23976,-0.03155,%,min,umol/min/g,A4,B37,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.9132,-2.03182,-3.86045,-0.02443,%,min,umol/min/g,A5,B39,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.56746,-3.48749,-6.27749,-0.02032,%,min,umol/min/g,A6,B41,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.59115,-1.31526,-2.499,-0.02173,%,min,umol/min/g,B2,W34,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.63436,-1.41141,-2.68169,-0.0218,%,min,umol/min/g,B3,W36,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-7.12299,-15.8482,-28.5268,-0.07527,%,min,umol/min/g,B4,Y30,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.36033,-3.02666,-5.75065,-0.02875,%,min,umol/min/g,B5,Y32,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.2307,-4.96318,-9.43005,-0.03404,%,min,umol/min/g,B6,Y34,8,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.38596,-3.08367,-5.85898,-0.02817,%,min,umol/min/g,C2,G80,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.19897,-2.66763,-5.0685,-0.02497,%,min,umol/min/g,C3,G82,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.06555,-2.37078,-4.50448,-0.03412,%,min,umol/min/g,C4,B82,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-3.27817,-7.29372,-13.8581,-0.07294,%,min,umol/min/g,C5,B84,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-9.88083,-21.9842,-41.7701,-0.19986,%,min,umol/min/g,C6,B87,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.82606,-6.2878,-11.9468,-0.0524,%,min,umol/min/g,D2,W78,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.82606,-6.2878,-11.9468,-0.08784,%,min,umol/min/g,D3,W80,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.76917,-1.71136,-3.25159,-0.02111,%,min,umol/min/g,D4,Y74,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.9128,-4.25587,-8.08616,-0.04568,%,min,umol/min/g,D5,Y76,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.24093,-4.98592,-9.47325,-0.03658,%,min,umol/min/g,D6,Y78,8,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.26055,-2.80464,-5.32881,-0.05669,%,min,umol/min/g,A2,G39,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.20383,-0.45351,-0.86168,-0.01014,%,min,umol/min/g,A3,G41,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.21931,-2.71288,-5.15447,-0.02643,%,min,umol/min/g,A4,G43,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.57253,-1.27384,-2.4203,-0.01458,%,min,umol/min/g,A5,B38,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.17663,-0.39299,-0.74668,-0.00649,%,min,umol/min/g,A6,B40,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.29145,-0.64845,-1.23206,-0.00893,%,min,umol/min/g,B2,W33,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.36671,-0.81592,-1.55024,-0.0123,%,min,umol/min/g,B3,W35,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.95508,-2.125,-4.03749,-0.01432,%,min,umol/min/g,B4,W37,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.98527,-4.4171,-8.39248,-0.03468,%,min,umol/min/g,B5,Y31,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.55121,-1.22642,-2.33019,-0.01131,%,min,umol/min/g,B6,Y33,8,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.01163,-2.2508,-4.27653,-0.02458,%,min,umol/min/g,C2,G79,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.49184,-1.09432,-2.0792,-0.007,%,min,umol/min/g,C4,G84,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.5208,-3.38368,-6.42899,-0.04202,%,min,umol/min/g,C5,B83,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-2.07844,-4.6244,-8.78636,-0.06188,%,min,umol/min/g,C6,B85,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.72865,-1.62121,-3.08029,-0.03582,%,min,umol/min/g,D2,W77,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.26127,-0.58132,-1.10451,-0.0092,%,min,umol/min/g,D4,W82,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.49452,-1.10029,-2.09055,-0.01357,%,min,umol/min/g,D5,Y75,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.34151,-0.75983,-1.29172,-0.01254,%,min,umol/min/g,D6,Y77,8,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.13522,-0.30914,-0.58736,-0.00675,%,min,umol/min/g,A2,G39,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.14351,-0.32809,-0.62338,-0.00959,%,min,umol/min/g,A3,G41,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.35983,-0.82264,-1.56302,-0.00849,%,min,umol/min/g,A4,G43,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.18514,-0.42327,-0.80422,-0.0047,%,min,umol/min/g,A5,B38,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.13542,-0.3096,-0.58823,-0.00545,%,min,umol/min/g,A6,B40,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.30777,-0.70361,-1.33686,-0.00962,%,min,umol/min/g,B2,W33,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.14522,-0.332,-0.63081,-0.00493,%,min,umol/min/g,B3,W35,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.1433,-0.32762,-0.62247,-0.00333,%,min,umol/min/g,B4,W37,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.67997,-1.55453,-2.95361,-0.01307,%,min,umol/min/g,B5,Y31,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.14991,-0.34272,-0.65117,-0.00327,%,min,umol/min/g,B6,Y33,15,sym,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.69025,-1.57804,-2.99828,-0.01828,%,min,umol/min/g,C2,G79,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.49354,-3.41449,-6.48754,-0.02385,%,min,umol/min/g,C3,G84,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.14728,-0.3367,-0.63973,-0.00488,%,min,umol/min/g,C4,B83,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.13285,-0.30371,-0.57705,-0.00424,%,min,umol/min/g,C5,B85,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.10396,-0.23768,-0.45159,-0.00396,%,min,umol/min/g,C6,W82,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.09715,-0.22211,-0.422,-0.00578,%,min,umol/min/g,D2,W77,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.09715,-0.22211,-0.422,-0.00293,%,min,umol/min/g,D3,Y75,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-0.13933,-0.31853,-0.6052,-0.00599,%,min,umol/min/g,D4,Y77,15,apo,SW,NLS,NoPlastic,Light,Starved,Elevated
-1.62051,-3.70478,-6.66861,-0.01944,%,min,umol/min/g,A2,G40,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.18047,-0.4126,-0.78393,-0.00445,%,min,umol/min/g,A3,G42,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.13415,-0.3067,-0.58273,-0.00787,%,min,umol/min/g,A4,B37,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.82434,-6.45696,-12.2682,-0.08461,%,min,umol/min/g,A5,B39,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.66076,-1.51063,-2.71913,-0.00874,%,min,umol/min/g,A6,B41,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.37396,-0.85494,-1.62438,-0.01425,%,min,umol/min/g,B2,W34,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-3.6515,-8.348,-15.8612,-0.12791,%,min,umol/min/g,B3,W36,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.9347,-6.70925,-12.0766,-0.03129,%,min,umol/min/g,B4,Y30,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.40153,-5.49033,-10.4316,-0.05322,%,min,umol/min/g,B5,Y32,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-1.78375,-4.07798,-7.74816,-0.027,%,min,umol/min/g,B6,Y34,15,sym,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.34132,-5.35268,-10.1701,-0.04441,%,min,umol/min/g,C2,G80,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.58728,-1.34263,-2.551,-0.01288,%,min,umol/min/g,C3,G82,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-0.21896,-0.50057,-0.95109,-0.00699,%,min,umol/min/g,C4,B82,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.05855,-4.70623,-8.94183,-0.04427,%,min,umol/min/g,C5,B84,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-3.52495,-8.05868,-15.3115,-0.07361,%,min,umol/min/g,C6,B87,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
-2.18193,-4.98829,-9.47776,-0.03982,%,min,umol/min/g,D2,W78,15,apo,EC,NLS,NoPlastic,Light,Starved,Elevated
