input.rate,converted.rate,volumetric,mass.specific,input.o2.unit,input.time.unit,output.unit,vial,B.TAG,Day,Sym.state,Bacteria,Treatment,Plastic,Light,Food,Temperature
-0.07878,-0.176,-0.3344,-0.00214,%,min,umol/min/g,B3,W20,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.15629,-0.34918,-0.66344,-0.00425,%,min,umol/min/g,B4,W22,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.0312,-0.06971,-0.13245,-0.00103,%,min,umol/min/g,B5,Y15,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.03653,-0.08162,-0.15508,-0.00304,%,min,umol/min/g,C2,G59,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07628,-0.17043,-0.32381,-0.00308,%,min,umol/min/g,C3,G63,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.08493,-0.18975,-0.36053,-0.00206,%,min,umol/min/g,C4,B64,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07631,-0.17048,-0.32392,-0.00202,%,min,umol/min/g,C5,B67,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07298,-0.16306,-0.30981,-0.00207,%,min,umol/min/g,C6,W58,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09832,-0.21965,-0.41734,-0.00127,%,min,umol/min/g,D2,W60,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.11513,-0.25721,-0.48869,-0.00182,%,min,umol/min/g,D4,Y56,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.15452,-0.34522,-0.65592,-0.00358,%,min,umol/min/g,D5,Y58,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.34767,-0.78903,-1.49916,-0.01153,%,min,umol/min/g,A2,G24,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.1106,-0.251,-0.47691,-0.01163,%,min,umol/min/g,A3,B13,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.11934,-0.27083,-0.51458,-0.01354,%,min,umol/min/g,A4,B21,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.29954,-0.67981,-1.29163,-0.00817,%,min,umol/min/g,A5,W21,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-2.58791,-5.87319,-11.1591,-0.08518,%,min,umol/min/g,A6,Y14,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.70256,-1.59444,-3.02943,-0.01655,%,min,umol/min/g,B2,G26,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-1.3393,-3.0395,-5.77504,-0.02377,%,min,umol/min/g,B3,B15,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.18939,-0.42981,-0.81664,-0.01317,%,min,umol/min/g,B4,W17,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.39615,-0.89905,-1.7082,-0.00918,%,min,umol/min/g,B5,Y12,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.29674,-0.67343,-1.27952,-0.00612,%,min,umol/min/g,B6,Y17,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.44855,-1.01798,-1.93416,-0.01194,%,min,umol/min/g,C2,G60,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.80916,-1.83637,-3.4891,-0.02295,%,min,umol/min/g,C3,B63,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.20356,-0.46197,-0.87774,-0.00791,%,min,umol/min/g,C4,B70,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-1.79848,-4.08159,-7.75502,-0.02611,%,min,umol/min/g,C5,W62,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.17049,-0.38693,-0.73517,-0.0075,%,min,umol/min/g,C6,Y55,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-3.88315,-8.81269,-16.7441,-0.10148,%,min,umol/min/g,D2,G64,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-3.88315,-8.81269,-16.7441,-0.06179,%,min,umol/min/g,D3,B65,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-2.11807,-4.8069,-9.13312,-0.04328,%,min,umol/min/g,D4,W59,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.25424,-0.57698,-1.09626,-0.00619,%,min,umol/min/g,D5,Y57,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.64477,-1.46328,-2.78024,-0.0176,%,min,umol/min/g,D6,Y59,8,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.40137,-0.94533,-1.79613,-0.01302,%,min,umol/min/g,A2,G24,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.43005,-1.01287,-1.92445,-0.01018,%,min,umol/min/g,A3,G26,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.05952,-0.14019,-0.26637,-0.00761,%,min,umol/min/g,A4,B13,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.31649,-0.74541,-1.34174,-0.00559,%,min,umol/min/g,A5,B15,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.26521,-0.62464,-1.18681,-0.00761,%,min,umol/min/g,A6,W21,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.1651,-0.38885,-0.73881,-0.00377,%,min,umol/min/g,B3,Y17,15,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.74121,-1.74575,-3.31692,-0.02182,%,min,umol/min/g,C2,G60,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.11239,-0.2647,-0.50293,-0.00314,%,min,umol/min/g,C3,G64,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.26926,-0.63417,-1.20492,-0.00803,%,min,umol/min/g,C4,B63,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.31657,-0.7456,-1.34207,-0.00499,%,min,umol/min/g,C5,B65,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.30026,-0.70718,-1.34364,-0.01221,%,min,umol/min/g,C6,B70,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.14574,-0.34326,-0.6522,-0.00317,%,min,umol/min/g,D2,W59,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.14574,-0.34326,-0.61788,-0.00212,%,min,umol/min/g,D3,W62,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.34856,-0.82095,-1.55981,-0.01076,%,min,umol/min/g,D4,Y59,15,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.19759,-0.44145,-0.83875,-0.00612,%,min,umol/min/g,A2,G24,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.26938,-0.60184,-1.14349,-0.00621,%,min,umol/min/g,A3,G26,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.08877,-0.19833,-0.37683,-0.01142,%,min,umol/min/g,A4,B13,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.52246,-1.16725,-2.21778,-0.0094,%,min,umol/min/g,A5,B15,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-2.57234,-5.74697,-10.9192,-0.06275,%,min,umol/min/g,A6,W21,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.21579,-0.4821,-0.86778,-0.00443,%,min,umol/min/g,B2,Y17,22,sym,EC,PDS,Plastic,Dark,Starved,Elevated
-0.24653,-0.55078,-1.04648,-0.00702,%,min,umol/min/g,C2,G60,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-3.59097,-8.02273,-15.2432,-0.09468,%,min,umol/min/g,C3,G64,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-1.37156,-3.06425,-5.82208,-0.03881,%,min,umol/min/g,C4,B63,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-4.43139,-9.90035,-18.8107,-0.07045,%,min,umol/min/g,C5,B65,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.09478,-0.21174,-0.40231,-0.00366,%,min,umol/min/g,C6,B70,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-2.12272,-4.74244,-9.01064,-0.04439,%,min,umol/min/g,D2,W59,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-2.12272,-4.74244,-9.01064,-0.03162,%,min,umol/min/g,D3,W62,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.25939,-0.57951,-1.10107,-0.00744,%,min,umol/min/g,D4,Y59,22,apo,EC,PDS,Plastic,Dark,Starved,Elevated
-0.6881,-1.54936,-2.94378,-0.01566,%,min,umol/min/g,A2,G29,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.81515,-1.83542,-3.4873,-0.01429,%,min,umol/min/g,A3,G31,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.37668,-0.84815,-1.61149,-0.00885,%,min,umol/min/g,A4,B27,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.86347,-1.94422,-3.69402,-0.02239,%,min,umol/min/g,A5,B30,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.29673,-0.66812,-1.26943,-0.01032,%,min,umol/min/g,A6,W23,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.61365,-3.63336,-6.90339,-0.03558,%,min,umol/min/g,B2,W25,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.8476,-1.90849,-3.62613,-0.01563,%,min,umol/min/g,B3,W27,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.42989,-0.96796,-1.83912,-0.01572,%,min,umol/min/g,B4,Y21,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
