"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"56","S4",23,"B54","Sym","NDF","Elevated (30C)","G2",23,8,"Y",0.102,NA,NA,NA,0.221,0.17,NA,NA,0.49391,0.50549,NA,NA,NA,NA,NA
"57","S19",11,"B5431","Sym","Control","Ambient (19C)","Tray",88,22,"N",0.17,NA,NA,0.15,NA,NA,NA,0.496,0.24896,NA,0.26252,"EC",NA,NA,-0.01172
"58","S6",1,"B55","Sym","NDF","Elevated (30C)","G2",23,20,"N",0.143,0.135,0.125,NA,0.052,0.18,0.084,NA,0.34571,0.40442,NA,"SW",-0.0095,-0.00525,NA
"59","S6",9,"B56","Sym","NDF","Elevated (30C)","G2",23,19,"N",0.136,0.121,0.118,NA,0.202,0.256,0.102,NA,0.28289,0.39723,NA,"EC",NA,-0.00804,NA
"60","S20",4,"B5628","Sym","Control","Ambient (19C)","Tray",88,22,"N",0.16,NA,NA,0.153,NA,NA,NA,0.277,0.38282,NA,0.35349,NA,NA,NA,NA
"61","S4",15,"B57","Sym","NLF","Elevated (30C)","H2",24,22,"N",0.202,0.192,0.197,0.194,0.161,0.14,0.067,0.474,0.28135,0.2759,0.23651,"EC",-0.03555,-0.0112,-0.0087
"62","S4",16,"B58","Sym","NLF","Elevated (30C)","H2",24,22,"N",0.091,0.084,0.085,0.073,0.069,0.141,0.08,0.22,0.31318,0.36705,0.5256,"SW",-0.00641,-0.00561,-0.00429
"63","S5",1,"B59","Sym","NLF","Elevated (30C)","H2",24,22,"N",0.177,0.155,0.168,0.17,0.229,0.144,0.08,0.455,0.27713,0.37062,0.18126,"EC",-0.00935,-0.06476,-0.14887
"64","S6",2,"B60","Sym","NLF","Elevated (30C)","H2",24,22,"N",0.139,0.132,0.14,0.14,0.18,0.118,0.101,0.54,0.35334,0.40038,0.29783,"SW",-0.00739,-0.00258,-0.0071
"65","S17",6,"B616","Sym","Control","Ambient (19C)","Tray",86,22,"N",0.308,NA,NA,0.309,NA,NA,NA,0.337,0.19127,NA,0.36375,"SW",NA,NA,-0.02968
"66","S6",10,"B62","Sym","NLF","Elevated (30C)","H2",24,22,"N",0.074,0.073,0.077,0.072,0.121,0.201,0.05,0.319,0.2685,0.39701,0.39836,"EC",-0.00956,-0.00785,-0.00785
"67","S19",3,"B6232","Sym","Control","Ambient (19C)","Tray",88,22,"N",0.217,NA,NA,0.213,NA,NA,NA,0.416,0.30763,NA,0.37181,NA,NA,NA,NA
"68","A4",1,"B63","Apo","PDS","Elevated (30C)","A2",25,22,"N",0.173,0.152,0.15,0.15,0.32,0.206,0.115,0.058,0.46585,0.57675,0.58076,"EC",-0.02295,-0.00803,-0.03881
"69","A20",2,"B6334","Apo","Control","Ambient (19C)","Tray",89,22,"N",0.158,NA,NA,0.136,NA,NA,NA,0.132,0.49617,NA,NA,"SW",NA,NA,-0.00537
"70","A4",9,"B64","Apo","PDS","Elevated (30C)","A2",25,22,"N",0.193,0.175,0.18,0.175,0.131,0.19,0.054,0.093,0.62642,0.54999,0.61874,"SW",-0.0054,-0.00228,-0.00206
"71","A5",5,"B65","Apo","PDS","Elevated (30C)","A2",25,22,"N",0.311,0.271,0.269,0.267,0.066,0.116,0.174,0.063,0.6224,0.59002,0.54983,"EC",-0.06179,-0.00499,-0.07045
"72","A5",13,"B67","Apo","PDS","Elevated (30C)","A2",25,22,"N",0.172,0.157,0.161,0.16,0.079,0.25,0.153,0.062,0.53626,0.44496,0.57465,"SW",-0.00455,-0.00278,-0.00202
"73","A19",3,"B6947","Apo","Control","Ambient (19C)","Tray",89,22,"N",0.145,NA,NA,0.141,NA,NA,NA,0.115,0.44737,NA,0.53641,"EC",NA,NA,-0.07579
"74","A1",6,"B7","Apo","NDF","Elevated (30C)","G1",15,22,"N",0.154,0.142,0.124,0.113,0.396,0.504,0.188,0.224,0.57223,0.37933,0.43454,"SW",-0.00223,-0.00108,-0.00237
"75","A6",2,"B70","Apo","PDS","Elevated (30C)","A2",25,22,"N",0.122,0.111,0.11,0.11,0.111,0.188,0.246,0.083,0.27857,0.52398,0.53216,"EC",-0.00791,-0.01221,-0.00366
"76","A4",2,"B71","Apo","PLS","Elevated (30C)","B2",26,12,"N",0.084,0.079,NA,NA,0.164,0.192,NA,NA,0.47119,0.45004,NA,"EC",-0.02954,NA,NA
"77","A4",10,"B72","Apo","PLS","Elevated (30C)","B2",26,15,"Y",0.088,0.088,NA,NA,0.16,0.26,0.17,NA,0.45876,0.47201,NA,"SW",-0.0079,NA,NA
"78","A5",6,"B73","Apo","PLS","Elevated (30C)","B2",26,22,"N",0.489,0.458,0.42,0.406,0.133,0.183,0.172,0.119,0.63803,0.53353,0.5142,"EC",-0.00718,-0.05098,-0.02184
"79","A5",14,"B74","Apo","PLS","Elevated (30C)","B2",26,22,"N",0.136,0.131,0.128,0.127,0.342,0.118,0.276,0.08,0.54138,0.52698,0.46413,"SW",-0.00513,-0.00432,-0.00423
"80","A6",3,"B75","Apo","PLS","Elevated (30C)","B2",26,22,"N",0.113,0.114,0.104,0.111,0.159,0.222,0.422,0.122,0.34807,0.4185,0.40835,"EC",-0.04776,-0.36904,-0.14266
"81","A25",6,"B76","Apo","NDS","Elevated (30C)","C2",27,22,"N",0.292,0.275,0.252,0.24,0.087,0.145,0.209,0.123,0.3835,0.48804,0.46081,"EC",-0.01347,-0.00551,-0.00393
"82","A4",11,"B77","Apo","NDS","Elevated (30C)","C2",27,22,"N",0.201,0.189,0.18,0.172,0.084,0.103,0.141,0.172,0.50665,0.4272,0.39865,"SW",-0.02319,-0.00303,-0.00327
"83","A5",7,"B78","Apo","NDS","Elevated (30C)","C2",27,8,"Y",0.082,NA,NA,NA,0.085,0.195,NA,NA,0.41256,0.45331,NA,NA,NA,NA,NA
"84","A5",15,"B79","Apo","NDS","Elevated (30C)","C2",27,22,"N",0.163,0.164,0.151,0.149,0.05,0.209,0.069,0.116,0.49127,0.50856,0.50855,"SW",-0.00246,-0.00229,-0.00214
"85","A25",3,"B8","Apo","NDF","Elevated (30C)","G1",15,9,"N",0.084,0.073,NA,NA,0.337,0.097,NA,NA,0.48425,0.5021,NA,NA,NA,NA,NA
"86","A6",4,"B80","Apo","NDS","Elevated (30C)","C2",27,22,"N",0.208,0.203,0.194,0.194,0.064,0.136,0.099,0.135,0.3606,0.50773,0.54277,"EC",-0.02731,-0.00402,-0.00415
"87","A4",4,"B82","Apo","NLS","Elevated (30C)","D2",28,22,"N",0.124,0.132,0.136,0.14,0.1,0.299,0.289,0.27,0.56492,0.51732,0.47644,"EC",-0.03412,-0.00699,-0.10987
"88","S19",10,"B820","Sym","Control","Ambient (19C)","Tray",87,22,"N",0.396,NA,NA,0.38,NA,NA,NA,0.411,0.38786,NA,0.48588,NA,NA,NA,NA
"89","A4",12,"B83","Apo","NLS","Elevated (30C)","D2",28,22,"N",0.144,0.153,0.131,0.137,0.113,0.32,0.389,0.346,0.42513,0.46016,0.45119,"SW",-0.04202,-0.00488,-0.00494
"90","A5",8,"B84","Apo","NLS","Elevated (30C)","D2",28,22,"N",0.207,0.19,0.202,0.198,0.197,0.308,0.516,0.227,0.47708,0.35425,0.50376,"EC",-0.07294,-0.04427,-0.09667
"91","A5",16,"B85","Apo","NLS","Elevated (30C)","D2",28,22,"N",0.154,0.142,0.136,0.124,0.059,0.317,0.282,0.467,0.43091,0.5132,0.46511,"SW",-0.06188,-0.00424,-0.00384
"92","A6",5,"B87","Apo","NLS","Elevated (30C)","D2",28,22,"N",0.215,0.209,0.208,0.201,0.065,0.208,0.232,0.197,0.31607,0.47407,0.47183,"EC",-0.19986,-0.07361,-0.032
"93","A4",5,"B88","Apo","PDF","Elevated (30C)","E2",29,15,"N",0.078,0.074,0.067,NA,0.184,0.112,0.209,NA,0.36587,0.28433,NA,"EC",-0.01978,-0.01451,NA
"94","A5",1,"B90","Apo","PDF","Elevated (30C)","E2",29,7,"N",0.345,NA,NA,NA,0.109,NA,NA,NA,0.63392,0.50297,NA,NA,NA,NA,NA
"95","S19",2,"B919","Sym","Control","Ambient (19C)","Tray",87,22,"N",0.309,NA,NA,0.308,NA,NA,NA,0.37,0.32758,NA,0.54806,"EC",NA,NA,-0.07567
"96","A5",9,"B92","Apo","PDF","Elevated (30C)","E2",29,22,"N",0.21,0.206,0.189,0.188,0.197,0.134,0.179,0.455,0.51357,0.43006,0.47863,"EC",-0.06911,-0.08373,-0.01006
"97","A5",17,"B93","Apo","PDF","Elevated (30C)","E2",29,22,"N",0.184,0.172,0.164,0.158,0.143,0.076,0.116,0.367,0.5501,0.60009,0.6185,"SW",-0.00468,-0.02826,-0.00216
"98","A7",1,"B94","Apo","PDF","Elevated (30C)","E2",29,22,"N",0.109,0.109,0.103,0.096,0.088,0.091,0.151,0.488,0.44323,0.55202,0.46731,"EC",-0.13262,-0.00475,-0.00844
"99","A5",10,"B95","Apo","PLF","Elevated (30C)","F2",30,7,"N",0.102,NA,NA,NA,0.176,NA,NA,NA,0.35431,0.48362,NA,NA,NA,NA,NA
"100","A21",2,"B9658","Apo","Control","Ambient (19C)","Tray",89,22,"N",0.187,NA,NA,0.183,NA,NA,NA,0.107,0.35291,NA,0.40766,NA,NA,NA,NA
"101","A5",18,"B97","Apo","PLF","Elevated (30C)","F2",30,20,"N",0.081,0.075,0.072,NA,0.14,0.304,0.186,NA,0.44492,0.52793,NA,"EC",-0.00993,-0.01115,NA
"102","A7",2,"B98","Apo","PLF","Elevated (30C)","F2",30,7,"N",0.223,NA,NA,NA,0.125,NA,NA,NA,0.43148,0.50097,NA,NA,NA,NA,NA
"103","S17",8,"B9940","Sym","Control","Ambient (19C)","Tray",88,22,"N",0.669,NA,NA,0.658,NA,NA,NA,0.442,0.1777,NA,0.33794,"SW",NA,NA,-0.05362
"104","A19",5,"G1899","Apo","Control","Ambient (19C)","Tray",91,22,"N",0.174,NA,NA,0.132,NA,NA,NA,0.232,0.35309,NA,0.38584,NA,NA,NA,NA
"105","A20",4,"G1991","Apo","Control","Ambient (19C)","Tray",91,22,"N",0.257,NA,NA,0.26,NA,NA,NA,0.093,0.54283,NA,0.62882,"EC",NA,NA,-0.02528
"106","S23",2,"G24","Sym","PDS","Elevated (30C)","A1",1,22,"N",0.159,0.138,0.138,0.137,0.24,0.323,0.08,0.057,0.39566,0.42903,0.44211,"EC",-0.01153,-0.01302,-0.00612
"107","S26",1,"G25","Sym","PDS","Elevated (30C)","A1",1,22,"N",0.364,0.337,0.344,0.348,0.156,0.201,0.226,0.116,0.3269,0.44959,0.43541,"SW",-0.00851,-0.00298,-0.00189
"108","S27",6,"G26","Sym","PDS","Elevated (30C)","A1",1,22,"N",0.224,0.183,0.189,0.184,0.246,0.256,0.146,0.064,0.22621,0.37774,0.50194,"EC",-0.01655,-0.01018,-0.00621
"109","S29",1,"G27","Sym","PDS","Elevated (30C)","A1",1,22,"N",0.193,0.185,0.189,0.19,0.272,0.375,0.318,0.052,0.17875,0.27493,0.29582,"SW",-0.01324,-0.00315,-0.00574
"110","S21",2,"G28","Sym","PLS","Elevated (30C)","B1",2,22,"N",0.302,0.286,0.277,0.272,0.253,0.132,0.199,0.049,0.35177,0.43827,0.4337,"SW",-0.00745,-0.00378,-0.00365
"111","S24",1,"G29","Sym","PLS","Elevated (30C)","B1",2,22,"N",0.186,0.188,0.189,0.185,0.22,0.046,0.141,0.101,0.38139,0.47991,0.47684,"EC",-0.01566,-0.00582,-0.01067
"112","S26",2,"G30","Sym","PLS","Elevated (30C)","B1",2,22,"N",0.315,0.305,0.3,0.284,0.162,0.099,0.181,0.105,0.31784,0.3531,0.58914,"SW",-0.01416,-0.01434,-0.0191
"113","S27",7,"G31","Sym","PLS","Elevated (30C)","B1",2,22,"N",0.249,0.244,0.235,0.229,0.169,0.178,0.141,0.06,0.17695,0.33646,0.35529,"EC",-0.01429,-0.03833,-0.04873
"114","S29",2,"G32","Sym","PLS","Elevated (30C)","B1",2,22,"N",0.107,0.195,0.103,0.099,0.202,0.108,0.152,0.057,0.39091,0.46521,0.43906,"SW",-0.01125,-0.00385,-0.00579
"115","S21",3,"G33","Sym","NDS","Elevated (30C)","C1",3,22,"N",0.458,0.453,0.444,0.42,0.343,0.314,0.141,0.064,0.25668,0.44371,0.37263,"SW",-0.01559,-0.00109,-0.00115
"116","S24",2,"G34","Sym","NDS","Elevated (30C)","C1",3,9,"N",0.039,0.053,NA,NA,0.263,0.336,NA,NA,0.38789,0.44639,NA,"EC",-0.13029,NA,NA
"117","S26",3,"G35","Sym","NDS","Elevated (30C)","C1",3,22,"N",0.174,0.17,0.16,0.152,0.249,0.038,0.181,0.161,0.34139,0.44806,0.46263,"SW",-0.01409,-0.00397,-0.00236
"118","S28",1,"G37","Sym","NDS","Elevated (30C)","C1",3,22,"N",0.218,0.214,0.206,0.201,0.382,0.049,0.19,0.149,0.33511,0.44271,0.61107,"EC",-0.02366,-0.00616,-0.0041
"119","S29",3,"G38","Sym","NDS","Elevated (30C)","C1",3,22,"N",0.175,0.178,0.173,0.165,0.235,0.274,0.022,0.162,0.40944,0.44744,0.44189,"SW",-0.02183,-0.00401,-0.00368
"120","S22",1,"G39","Sym","NLS","Elevated (30C)","D1",4,22,"N",0.108,0.094,0.087,0.076,0.18,0.211,0.196,0.304,0.32454,0.365,0.45056,"SW",-0.05669,-0.00675,-0.00928
"121","S21",1,"G4","Sym","PDS","Elevated (30C)","A1",1,22,"N",0.16,0.151,0.147,0.147,0.288,0.254,0.151,0.062,0.32433,0.41525,0.51912,"SW",-0.0039,-0.00427,-0.00229
"122","S24",3,"G40","Sym","NLS","Elevated (30C)","D1",4,22,"N",0.331,0.338,0.343,0.347,0.169,0.17,0.159,0.14,0.33847,0.4043,0.46394,"EC",-0.02922,-0.01944,-0.03081
"123","S27",1,"G41","Sym","NLS","Elevated (30C)","D1",4,22,"N",0.088,0.085,0.184,0.061,0.217,0.187,0.059,0.094,0.35878,0.43835,0.5966,"SW",-0.01014,-0.00959,-0.00665
"124","A23",2,"G4161","Apo","Control","Ambient (19C)","Tray",93,22,"N",0.194,NA,NA,0.193,NA,NA,NA,0.134,0.53435,NA,0.5904,NA,NA,NA,NA
"125","S28",2,"G42","Sym","NLS","Elevated (30C)","D1",4,22,"N",0.178,0.175,0.176,0.175,0.183,0.21,0.154,0.227,0.33767,0.45313,0.39995,"EC",-0.01351,-0.00445,-0.05282
"126","S29",4,"G43","Sym","NLS","Elevated (30C)","D1",4,22,"N",0.179,0.195,0.184,0.184,0.159,0.27,0.104,0.091,0.30968,0.33128,0.35366,"SW",-0.02643,-0.00849,-0.00562
"127","S22",3,"G44","Sym","PLF","Elevated (30C)","F1",6,22,"N",0.355,0.369,0.351,0.255,0.281,0.133,0.092,0.051,0.37879,0.33439,0.50588,"SW",-0.00741,-0.00815,-0.0137
"128","S25",2,"G45","Sym","PLF","Elevated (30C)","F1",6,22,"N",0.213,0.21,0.198,0.201,0.379,0.165,0.057,0.048,0.37051,0.42197,0.53379,"EC",-0.10742,-0.00419,-0.00456
"129","S27",3,"G46","Sym","PLF","Elevated (30C)","F1",6,22,"N",0.164,0.156,0.142,0.138,0.183,0.188,0.212,0.301,0.34115,0.51179,0.40238,"SW",-0.00944,-0.00672,-0.00683
"130","S28",4,"G47","Sym","PLF","Elevated (30C)","F1",6,22,"N",0.319,0.32,0.311,0.311,0.289,0.176,0.076,0.091,0.2247,0.42028,0.4965,"EC",-0.0147,-0.07358,-0.02034
"131","S29",6,"G48","Sym","PLF","Elevated (30C)","F1",6,22,"N",0.107,0.092,0.086,0.085,0.333,0.119,0.064,0.072,0.32496,0.31885,0.359,"SW",-0.00821,-0.0063,-0.00707
