Date,Colony#,Colony,Sym.State,Tile,Frag,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Mass,Day
10/13/2021,8,S4,SYM,19,3,B32,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,NA,15
10/20/2021,8,S4,SYM,19,3,B32,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,NA,22
08/03/2021,8,S4,SYM,19,10,B33,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.197,1
10/6/2021,8,S4,SYM,19,10,B33,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.191,8
10/13/2021,8,S4,SYM,19,10,B33,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.187,15
10/20/2021,8,S4,SYM,19,10,B33,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.183,22
08/06/2021,39,A22,APO,89,3,B3366,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.266,1
10/28/2021,39,A22,APO,89,3,B3366,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.225,22
08/31/2021,51,S30,SYM,19,2,B34,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.093,1
10/6/2021,51,S30,SYM,19,2,B34,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.077,8
10/13/2021,51,S30,SYM,19,2,B34,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.068,15
10/20/2021,51,S30,SYM,19,2,B34,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.056,22
08/03/2021,9,S5,SYM,19,4,B35,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.196,1
10/6/2021,9,S5,SYM,19,4,B35,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.208,8
10/13/2021,9,S5,SYM,19,4,B35,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.183,15
10/20/2021,9,S5,SYM,19,4,B35,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.177,22
08/03/2021,10,S6,SYM,19,5,B36,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.174,1
10/6/2021,10,S6,SYM,19,5,B36,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.16,8
10/13/2021,10,S6,SYM,19,5,B36,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.152,15
10/20/2021,10,S6,SYM,19,5,B36,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.146,22
08/03/2021,8,S4,SYM,20,4,B37,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.090,1
10/7/2021,8,S4,SYM,20,4,B37,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.071,8
10/14/2021,8,S4,SYM,20,4,B37,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.074,15
10/21/2021,8,S4,SYM,20,4,B37,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.052,22
08/03/2021,8,S4,SYM,20,11,B38,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.184,1
10/7/2021,8,S4,SYM,20,11,B38,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.166,8
10/14/2021,8,S4,SYM,20,11,B38,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.171,15
10/21/2021,8,S4,SYM,20,11,B38,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.172,22
08/03/2021,8,S4,SYM,20,20,B39,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.144,1
10/7/2021,8,S4,SYM,20,20,B39,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.158,8
10/14/2021,8,S4,SYM,20,20,B39,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.145,15
10/21/2021,8,S4,SYM,20,20,B39,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.139,22
08/06/2021,34,S20,SYM,86,2,B3941,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.167,1
10/27/2021,34,S20,SYM,86,2,B3941,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.162,22
08/06/2021,35,A18,APO,89,1,B3998,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.315,1
10/28/2021,35,A18,APO,89,1,B3998,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.290,22
08/09/2021,49,S28,SYM,5,3,B4,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.19,1
10/8/2021,49,S28,SYM,5,3,B4,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.185,8
10/15/2021,49,S28,SYM,5,3,B4,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.185,15
10/22/2021,49,S28,SYM,5,3,B4,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.175,22
08/03/2021,9,S5,SYM,20,5,B40,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.126,1
10/7/2021,9,S5,SYM,20,5,B40,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.115,8
10/14/2021,9,S5,SYM,20,5,B40,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.108,15
10/21/2021,9,S5,SYM,20,5,B40,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.105,22
08/31/2021,51,S30,SYM,86,5,B4037,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.283,1
10/27/2021,51,S30,SYM,86,5,B4037,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.276,22
08/03/2021,10,S6,SYM,20,6,B41,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.294,1
10/7/2021,10,S6,SYM,20,6,B41,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.309,8
10/14/2021,10,S6,SYM,20,6,B41,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.311,15
10/21/2021,10,S6,SYM,20,6,B41,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.309,22
08/03/2021,8,S4,SYM,21,5,B42,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.209,1
10/8/2021,8,S4,SYM,21,5,B42,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.2,8
10/15/2021,8,S4,SYM,21,5,B42,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.194,15
10/22/2021,8,S4,SYM,21,5,B42,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,NA,22
08/03/2021,8,S4,SYM,21,12,B43,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.164,1
10/8/2021,8,S4,SYM,21,12,B43,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.158,8
10/15/2021,8,S4,SYM,21,12,B43,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.15,15
10/22/2021,8,S4,SYM,21,12,B43,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.149,22
08/03/2021,8,S4,SYM,21,21,B44,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.176,1
10/8/2021,8,S4,SYM,21,21,B44,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.174,8
10/15/2021,8,S4,SYM,21,21,B44,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.168,15
10/22/2021,8,S4,SYM,21,21,B44,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.169,22
08/03/2021,9,S5,SYM,21,6,B45,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.283,1
10/8/2021,9,S5,SYM,21,6,B45,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,NA,8
10/15/2021,9,S5,SYM,21,6,B45,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,NA,15
10/22/2021,9,S5,SYM,21,6,B45,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,NA,22
08/03/2021,10,S6,SYM,21,7,B46,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.113,1
10/8/2021,10,S6,SYM,21,7,B46,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.109,8
10/15/2021,10,S6,SYM,21,7,B46,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.105,15
10/22/2021,10,S6,SYM,21,7,B46,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.098,22
08/31/2021,51,S30,SYM,22,8,B47,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.161,1
10/10/2021,51,S30,SYM,22,8,B47,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.152,8
10/17/2021,51,S30,SYM,22,8,B47,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.152,15
10/24/2021,51,S30,SYM,22,8,B47,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.150,22
08/03/2021,8,S4,SYM,22,13,B48,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.196,1
10/10/2021,8,S4,SYM,22,13,B48,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.183,8
10/17/2021,8,S4,SYM,22,13,B48,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,NA,15
10/24/2021,8,S4,SYM,22,13,B48,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,NA,22
08/03/2021,8,S4,SYM,22,22,B49,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.147,1
10/10/2021,8,S4,SYM,22,22,B49,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.131,8
10/17/2021,8,S4,SYM,22,22,B49,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.128,15
10/24/2021,8,S4,SYM,22,22,B49,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.127,22
08/09/2021,50,S29,SYM,5,5,B5,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.148,1
10/8/2021,50,S29,SYM,5,5,B5,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.117,8
10/15/2021,50,S29,SYM,5,5,B5,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.144,15
10/22/2021,50,S29,SYM,5,5,B5,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.108,22
08/31/2021,51,S30,SYM,22,1,B50,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.226,1
10/10/2021,51,S30,SYM,22,1,B50,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.221,8
10/17/2021,51,S30,SYM,22,1,B50,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.219,15
10/24/2021,51,S30,SYM,22,1,B50,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.217,22
08/03/2021,10,S6,SYM,22,8,B51,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.086,1
10/10/2021,10,S6,SYM,22,8,B51,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.074,8
10/17/2021,10,S6,SYM,22,8,B51,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.067,15
10/24/2021,10,S6,SYM,22,8,B51,F2,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,NA,22
08/03/2021,8,S4,SYM,23,7,B52,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.151,1
10/11/2021,8,S4,SYM,23,7,B52,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.135,8
10/17/2021,8,S4,SYM,23,7,B52,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.131,15
08/03/2021,8,S4,SYM,23,14,B53,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.262,1
10/11/2021,8,S4,SYM,23,14,B53,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.244,8
10/17/2021,8,S4,SYM,23,14,B53,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.231,15
08/03/2021,8,S4,SYM,23,23,B54,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.102,1
10/11/2021,8,S4,SYM,23,23,B54,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,NA,8
10/17/2021,8,S4,SYM,23,23,B54,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,NA,15
08/06/2021,33,S19,SYM,88,11,B5431,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.17,1
10/27/2021,33,S19,SYM,88,11,B5431,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.150,22
08/03/2021,10,S6,SYM,23,1,B55,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.143,1
10/11/2021,10,S6,SYM,23,1,B55,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.135,8
10/17/2021,10,S6,SYM,23,1,B55,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.125,15
08/03/2021,10,S6,SYM,23,9,B56,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.136,1
10/11/2021,10,S6,SYM,23,9,B56,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.121,8
10/17/2021,10,S6,SYM,23,9,B56,G2,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.118,15
08/06/2021,34,S20,SYM,88,4,B5628,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.16,1
10/27/2021,34,S20,SYM,88,4,B5628,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.153,22
10/26/2021,8,S4,SYM,24,15,B57,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.194,22
08/03/2021,8,S4,SYM,24,15,B57,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.202,1
10/12/2021,8,S4,SYM,24,15,B57,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.192,8
10/19/2021,8,S4,SYM,24,15,B57,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.197,15
10/26/2021,8,S4,SYM,24,16,B58,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.073,22
08/03/2021,8,S4,SYM,24,16,B58,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.091,1
10/12/2021,8,S4,SYM,24,16,B58,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.084,8
10/19/2021,8,S4,SYM,24,16,B58,H2,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.085,15
